,Maximum T 2000,Maximum T 2001,Maximum T 2002,Maximum T 2003,Maximum T 2004,Maximum T 2005,Maximum T 2006,Maximum T 2007,Maximum T 2008,Maximum T 2009,Maximum T 2010,Maximum T 2011,Maximum T 2012,Maximum T 2013,Maximum T 2014,Maximum T 2015,Maximum T 2016,Mean
0,,29.444444444444443,,26.666666666666668,27.77777777777778,,,,,29.444444444444443,28.88888888888889,,,27.22222222222222,27.22222222222222,,,28.0952380952381
1,29.444444444444443,,,29.444444444444443,,,,,,27.22222222222222,28.33333333333333,,,,26.11111111111111,,,28.111111111111107
2,28.33333333333333,,,,,,,,29.444444444444443,29.444444444444443,,29.444444444444443,,25.55555555555556,26.11111111111111,,27.77777777777778,28.015873015873012
3,28.33333333333333,29.444444444444443,,28.33333333333333,,,,,,,,26.666666666666668,,28.33333333333333,28.88888888888889,,28.33333333333333,28.333333333333332
4,26.666666666666668,,,28.33333333333333,24.444444444444443,,,,29.444444444444443,29.444444444444443,,29.444444444444443,,26.666666666666668,,,28.33333333333333,27.84722222222222
5,23.88888888888889,,27.22222222222222,28.33333333333333,22.77777777777778,,,,,25.55555555555556,,,,22.22222222222222,27.77777777777778,26.666666666666668,,25.962236746550474
6,,,26.666666666666668,25.55555555555556,23.33333333333333,28.88888888888889,,,,27.77777777777778,,,,27.22222222222222,28.88888888888889,27.22222222222222,,26.944444444444443
7,,,28.33333333333333,28.88888888888889,27.22222222222222,,,,28.33333333333333,28.33333333333333,,,,,28.88888888888889,28.33333333333333,,28.333333333333332
8,,,29.444444444444443,27.22222222222222,,23.88888888888889,,,27.22222222222222,,,,,,28.88888888888889,,27.22222222222222,27.314814814814813
9,,,,28.33333333333333,,,26.11111111111111,,28.88888888888889,,,,,29.444444444444443,,25.0,,27.555555555555554
10,,,,27.77777777777778,,,27.77777777777778,29.444444444444443,26.11111111111111,,,,,29.444444444444443,28.33333333333333,,,28.14814814814814
11,27.22222222222222,27.77777777777778,,29.444444444444443,27.77777777777778,,27.77777777777778,,28.88888888888889,,29.444444444444443,,29.444444444444443,,24.444444444444443,29.444444444444443,,28.166666666666664
12,23.88888888888889,28.88888888888889,,,26.666666666666668,,29.444444444444443,,,28.88888888888889,26.11111111111111,27.22222222222222,,,27.77777777777778,28.33333333333333,,27.469135802469136
13,25.55555555555556,28.33333333333333,,,21.666666666666668,,,,29.444444444444443,28.88888888888889,27.22222222222222,27.22222222222222,,24.444444444444443,27.22222222222222,,,26.9640522875817
14,,28.88888888888889,,,25.55555555555556,,,,28.33333333333333,,25.0,28.33333333333333,29.444444444444443,26.11111111111111,25.55555555555556,,,27.4400871459695
15,,29.444444444444443,,,28.33333333333333,25.0,,,29.444444444444443,,,29.444444444444443,,25.55555555555556,27.77777777777778,,,27.857142857142858
16,25.55555555555556,,,29.444444444444443,26.666666666666668,,,,,,,,,26.666666666666668,,,,27.083333333333336
17,21.666666666666668,28.88888888888889,,28.33333333333333,28.33333333333333,,29.444444444444443,27.77777777777778,,,26.666666666666668,,28.88888888888889,22.77777777777778,26.666666666666668,,,27.14795008912656
18,26.11111111111111,27.22222222222222,,28.88888888888889,,24.444444444444443,,22.77777777777778,,,,,24.444444444444443,25.0,27.77777777777778,,,26.17283950617284
19,23.88888888888889,29.444444444444443,,29.444444444444443,,,,21.11111111111111,27.22222222222222,,,,26.666666666666668,,28.88888888888889,,,27.058823529411768
20,25.0,28.33333333333333,,,26.666666666666668,,,20.0,28.88888888888889,,,,28.33333333333333,,,28.88888888888889,28.88888888888889,27.149600580973125
21,27.77777777777778,,,,26.11111111111111,,,20.55555555555556,28.88888888888889,28.88888888888889,,27.77777777777778,28.88888888888889,,25.55555555555556,28.33333333333333,27.77777777777778,27.240047534165186
22,27.22222222222222,28.33333333333333,,28.33333333333333,,28.88888888888889,,23.88888888888889,28.88888888888889,,29.444444444444443,27.22222222222222,,26.666666666666668,22.22222222222222,29.444444444444443,27.77777777777778,27.443438914027148
23,28.88888888888889,,,26.11111111111111,,28.33333333333333,,,,29.444444444444443,23.33333333333333,28.88888888888889,,28.33333333333333,26.11111111111111,,29.444444444444443,27.82679738562091
24,29.444444444444443,28.33333333333333,,,27.22222222222222,28.33333333333333,,,,29.444444444444443,26.666666666666668,27.22222222222222,26.666666666666668,27.22222222222222,27.22222222222222,28.33333333333333,,27.954793028322438
25,29.444444444444443,28.33333333333333,28.33333333333333,,28.88888888888889,26.666666666666668,,,26.11111111111111,,29.444444444444443,,26.11111111111111,,,26.11111111111111,,27.866013071895424
26,26.666666666666668,,,28.88888888888889,,22.77777777777778,,,26.11111111111111,29.444444444444443,27.77777777777778,25.55555555555556,,,,26.666666666666668,,27.000726216412495
27,27.77777777777778,,24.444444444444443,29.444444444444443,,,,28.88888888888889,22.22222222222222,25.0,28.33333333333333,28.33333333333333,,28.88888888888889,28.88888888888889,28.33333333333333,,27.44281045751634
28,25.0,29.444444444444443,20.55555555555556,,,,,28.88888888888889,23.33333333333333,29.444444444444443,,26.666666666666668,,,25.55555555555556,,,26.441539578794487
29,27.22222222222222,28.88888888888889,21.666666666666668,,29.444444444444443,28.88888888888889,25.55555555555556,,,27.77777777777778,,27.22222222222222,,,28.33333333333333,,,27.42483660130719
30,27.77777777777778,29.444444444444443,25.0,24.444444444444443,28.88888888888889,,23.33333333333333,,,23.88888888888889,,28.33333333333333,,,,,,26.728395061728392
31,28.33333333333333,,,29.444444444444443,,,,27.77777777777778,28.33333333333333,29.444444444444443,27.22222222222222,,,28.33333333333333,,29.444444444444443,,28.541666666666664
32,29.444444444444443,23.33333333333333,,25.0,,,,26.11111111111111,29.444444444444443,27.22222222222222,28.88888888888889,,,28.33333333333333,,23.88888888888889,26.11111111111111,27.035056446821148
33,,26.11111111111111,,24.444444444444443,,28.88888888888889,,26.666666666666668,,26.11111111111111,,,,,,27.22222222222222,22.77777777777778,26.51960784313725
34,29.444444444444443,,,,26.11111111111111,29.444444444444443,,28.33333333333333,29.444444444444443,28.88888888888889,,,,,26.666666666666668,24.444444444444443,22.77777777777778,27.28395061728395
35,29.444444444444443,28.88888888888889,,,,29.444444444444443,29.444444444444443,27.77777777777778,27.22222222222222,25.0,,,,,27.77777777777778,28.33333333333333,,28.148148148148145
36,28.33333333333333,26.11111111111111,,,,,26.666666666666668,,29.444444444444443,,,,,,,29.444444444444443,,28.0
37,26.666666666666668,28.33333333333333,27.77777777777778,,,27.22222222222222,27.22222222222222,,,,,,,,,,,27.444444444444446
38,26.11111111111111,27.77777777777778,,,,26.666666666666668,27.77777777777778,,,27.22222222222222,,,,,,,,27.111111111111107
