,UHI Heat Wave
0,1.1111111111111107
1,1.0
2,1.1111111111111107
3,0.7936507936507944
4,1.1111111111111107
5,0.7806826434277383
6,0.625
7,0.39682539682539897
8,1.0185185185185155
9,1.1111111111111107
10,0.8333333333333393
11,0.8333333333333357
12,0.6790123456790091
13,0.68954248366013
14,0.6281771968046499
15,0.8730158730158735
16,1.1111111111111072
17,1.1556743909685032
18,1.0312273057371115
19,1.2295751633986889
20,0.6463326071169249
21,0.9982174688056951
22,0.5555555555555571
23,0.9738562091503304
24,0.9531590413943327
25,0.6862745098039227
26,0.8533042846768311
27,0.6644880174291927
28,0.8387799564270075
29,0.8692810457516309
30,1.161946259985477
31,0.69444444444445
32,0.9833630421865749
33,1.00490196078432
34,0.9259259259259274
35,1.2962962962962976
36,0.5555555555555536
37,0.6666666666666607
38,0.33333333333333925
39,1.2962962962963012
40,0.4629629629629619
41,0.9259259259259238
42,1.3888888888888928
43,1.042120551924473
44,1.2124183006535922
45,1.2222222222222285
46,0.44444444444444287
47,0.8333333333333357
48,0.27777777777777857
49,1.4814814814814845
50,0.7407407407407405
51,1.1111111111111107
52,1.3333333333333321
53,0.8333333333333321
54,0.8730158730158699
55,1.3333333333333357
56,1.6666666666666643
57,1.333333333333325
58,0.7777777777777786
59,1.5250544662309338
60,1.0416666666666679
61,1.1111111111111036
62,0.49382716049382225
63,0.6590413943355102
64,0.8476307189542496
65,1.0334967320261441
66,0.7799564270152501
67,0.6485671191553521
68,0.6512605042016872
69,0.7013574660633495
70,0.6699346405228752
71,0.6503267973856204
72,1.1256354393609271
73,0.8888888888888928
74,0.9994553376906303
75,0.8932461873638395
76,0.7282913165266045
77,1.4102564102564124
78,0.8533042846768311
79,1.1942959001782576
80,0.8578431372549034
81,1.1348781937017165
82,0.882352941176471
83,0.6666666666666607
84,0.9999999999999929
85,0.7936507936507944
86,0.8333333333333357
87,1.1111111111111072
88,0.9876543209876552
89,1.0317460317460316
90,1.1719317356572247
91,1.1904761904761934
