,UHI Heat Wave
0,1.8915801614763552
1,1.839677047289502
2,1.616685890042291
3,2.042483660130717
4,2.081891580161475
5,1.9934640522875782
6,2.009803921568629
7,1.9107434640522918
8,2.204921184159936
9,1.6053921568627487
10,1.492695117262592
11,1.8627450980392197
12,1.8688725490196063
13,1.964869281045754
14,1.8464052287581687
15,2.4067666282199163
16,2.079969242598999
17,2.028066128412153
18,1.9771241830065343
19,1.8790849673202636
20,2.0588235294117645
21,2.238562091503269
22,1.8464052287581794
23,2.385620915032682
24,1.9771241830065343
25,2.058823529411768
26,2.0751633986928084
27,1.6666666666666679
28,2.044405997693193
29,1.9444444444444464
30,2.173202614379086
31,2.0588235294117645
32,2.1405228758169983
33,2.499038831218762
34,1.7896962706651287
35,1.9117647058823515
36,2.0241013071895395
37,2.1006944444444464
38,2.120098039215687
39,2.3202614379084956
40,1.7973856209150298
41,2.238562091503269
42,2.4346405228758172
43,1.9934640522875817
44,1.7973856209150298
45,1.9607843137254868
46,1.9300269127258751
47,2.6038062283737062
48,2.1176470588235254
49,2.1530180699730934
50,1.735870818915803
51,1.8944636678200695
52,1.6868512110726677
53,2.075163398692812
54,1.9985702614379086
55,1.8464052287581723
56,2.0424836601307206
57,1.7156862745098103
58,1.9281045751633954
59,1.6319444444444464
60,1.8464052287581758
61,2.173202614379086
62,2.0098039215686256
63,1.6503267973856204
64,1.9771241830065343
65,1.732026143790847
66,1.4215686274509807
67,1.584967320261434
68,1.8300653594771283
69,2.1405228758169947
70,2.140522875816991
71,2.189542483660137
72,2.156862745098035
73,1.2990196078431389
74,1.5522875816993427
75,1.192810457516341
76,1.7810457516339895
77,2.1568627450980387
78,1.8627450980392126
79,2.035755478662054
80,1.8464052287581687
81,1.8627450980392197
82,1.9473279507881642
83,1.9607843137254939
84,2.3039215686274517
85,2.2531110330161503
86,1.9607843137254868
87,1.8790849673202636
88,1.753171856978085
89,2.02614379084968
90,1.7674729971645533
91,2.277369281045754
