,UHI Heat Wave
0,1.6666666666666679
1,1.6666666666666679
2,2.222222222222218
3,
4,
5,
6,
7,2.361111111111107
8,2.222222222222218
9,0.55555555555555
10,
11,
12,
13,-0.27777777777777857
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,2.222222222222218
34,2.222222222222225
35,2.4999999999999964
36,2.7777777777777715
37,3.19444444444445
38,1.1111111111111072
39,
40,
41,
42,
43,
44,
45,
46,
47,2.4999999999999964
48,2.7777777777777786
49,
50,
51,2.4999999999999964
52,2.499999999999993
53,2.2222222222222214
54,1.80555555555555
55,1.1111111111111143
56,
57,
58,
59,2.222222222222218
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,2.7777777777777857
83,
84,
85,1.9444444444444464
86,
87,
88,
89,0.55555555555555
90,1.6666666666666607
91,
