,UHI Heat Wave
0,2.8758169934640527
1,2.581699346405223
2,2.385620915032682
3,3.0065359477124147
4,3.202614379084963
5,3.0718954248366046
6,3.2679738562091494
7,3.0065359477124183
8,3.398692810457515
9,2.2549019607843093
10,2.5490196078431424
11,2.810457516339863
12,3.137254901960784
13,3.137254901960784
14,3.1699346405228717
15,3.627450980392151
16,3.2352941176470615
17,2.973856209150327
18,2.973856209150327
19,2.745098039215687
20,3.169934640522875
21,3.5947712418300632
22,3.5947712418300632
23,3.562091503267972
24,3.333333333333332
25,3.2352941176470615
26,3.0718954248366046
27,2.973856209150327
28,3.039215686274506
29,2.875816993464049
30,3.0065359477124147
31,3.398692810457515
32,3.660130718954246
33,3.267973856209153
34,2.6470588235294095
35,2.5163398692810475
36,3.137254901960784
37,3.169934640522875
38,3.006535947712422
39,2.9084967320261477
40,2.679738562091501
41,3.562091503267972
42,3.7581699346405237
43,2.843137254901965
44,2.026143790849673
45,2.973856209150327
46,3.36601307189542
47,4.05228758169935
48,2.908496732026144
49,2.8431372549019613
50,2.745098039215687
51,2.908496732026144
52,2.614379084967318
53,3.1372549019607803
54,3.333333333333343
55,2.647058823529413
56,2.777777777777775
57,2.1241830065359544
58,2.7124183006535922
59,2.2549019607843164
60,2.6797385620915044
61,3.3986928104575114
62,3.692810457516339
63,2.908496732026137
64,3.006535947712422
65,2.5816993464052302
66,2.156862745098035
67,2.4836601307189508
68,2.9738562091503233
69,3.562091503267972
70,3.169934640522875
71,3.4640522875817013
72,2.810457516339863
73,2.391748366013072
74,2.2875816993464078
75,1.9934640522875853
76,2.777777777777775
77,2.941176470588239
78,2.9084967320261406
79,2.9084967320261477
80,2.908496732026144
81,2.9411764705882355
82,3.3006535947712408
83,2.9411764705882355
84,3.398692810457522
85,3.4640522875816977
86,2.941176470588232
87,3.039215686274506
88,2.8104575163398664
89,3.0392156862745097
90,2.618464052287578
91,3.4967320261437926
