,Mean T 2000,Mean T 2001,Mean T 2002,Mean T 2003,Mean T 2004,Mean T 2005,Mean T 2006,Mean T 2007,Mean T 2008,Mean T 2009,Mean T 2010,Mean T 2011,Mean T 2012,Mean T 2013,Mean T 2014,Mean T 2015,Mean T 2016,Mean
0,,,,,,,33.333333333333336,,,,,,,,,,,33.333333333333336
1,,,,,,,33.333333333333336,,,,,,,,,,,33.333333333333336
2,,,,,,,33.888888888888886,,,,,,,,,,,33.888888888888886
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,,32.77777777777778,,,,,,35.27777777777778,,,,,,,,,,34.02777777777778
8,,32.77777777777778,,,,,,,,,,,,,,,,32.77777777777778
9,,31.11111111111111,,,,,,,,,,,,,,,,31.11111111111111
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,31.11111111111111,,,,,,,,,,,,,,30.55555555555556,30.833333333333336
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,32.77777777777778,,,,,,,,,,,,,,,32.77777777777778
34,,,33.333333333333336,,,,,,,,,,,,,,,33.333333333333336
35,,,,,,,,,,,,,33.888888888888886,,,,,33.888888888888886
36,,,,,,,,,,,34.44444444444444,,33.888888888888886,,,,,34.166666666666664
37,,,,,,,,,,,34.166666666666664,,35.55555555555556,,,,,34.861111111111114
38,,,,,,,,,,,,,33.888888888888886,,,,,33.888888888888886
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,33.05555555555556,,,,,33.05555555555556
48,,,,,,,,,,,,,35.0,,,,,35.0
49,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,33.888888888888886,,,,,,33.888888888888886
52,,,,,,,,,,,,36.66666666666666,,,,,,36.66666666666666
53,,,,,,,,,,,,34.72222222222222,,,,,32.5,33.611111111111114
54,,,,,,,,,,,33.888888888888886,33.888888888888886,,,,,,33.888888888888886
55,,,,,,,,,,,31.38888888888889,,,,,,32.22222222222222,31.805555555555557
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,33.888888888888886,,,,,,33.888888888888886
60,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,33.611111111111114,,,,,33.611111111111114
83,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,33.05555555555556,,,,,,,33.05555555555556
86,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,31.11111111111111,,,,,,,31.11111111111111
90,,,,,,,,,,,,,32.22222222222222,,,,,32.22222222222222
91,,,,,,,,,,,,,,,,,,
