,year,month,day,Mean T,Maximum T,Minimum T
0,2000,1,2,54.0,68.0,40.0
1,2000,1,3,60.0,66.0,54.0
2,2000,1,4,59.0,70.0,48.0
3,2000,1,5,42.0,48.0,36.0
4,2000,1,6,40.0,47.0,32.0
5,2000,1,7,43.0,52.0,34.0
6,2000,1,8,39.0,46.0,31.0
7,2000,1,9,44.0,48.0,40.0
8,2000,1,10,48.0,53.0,43.0
9,2000,1,11,48.0,55.0,41.0
10,2000,1,12,43.0,49.0,37.0
11,2000,1,13,44.0,58.0,30.0
12,2000,1,14,27.0,31.0,23.0
13,2000,1,15,29.0,36.0,22.0
14,2000,1,16,46.0,60.0,31.0
15,2000,1,17,24.0,30.0,18.0
16,2000,1,18,19.0,24.0,14.0
17,2000,1,19,30.0,38.0,21.0
18,2000,1,20,30.0,34.0,25.0
19,2000,1,21,21.0,25.0,16.0
20,2000,1,22,19.0,24.0,13.0
21,2000,1,23,27.0,30.0,24.0
22,2000,1,24,35.0,40.0,29.0
23,2000,1,25,30.0,34.0,25.0
24,2000,1,26,28.0,33.0,23.0
25,2000,1,27,22.0,26.0,18.0
26,2000,1,28,24.0,31.0,16.0
27,2000,1,29,29.0,37.0,20.0
28,2000,1,30,28.0,31.0,24.0
29,2000,1,31,32.0,38.0,26.0
30,2000,2,1,32.0,37.0,27.0
31,2000,2,2,29.0,32.0,25.0
32,2000,2,3,30.0,36.0,23.0
33,2000,2,4,34.0,38.0,30.0
34,2000,2,5,36.0,39.0,32.0
35,2000,2,6,35.0,39.0,30.0
36,2000,2,7,39.0,48.0,30.0
37,2000,2,8,32.0,38.0,26.0
38,2000,2,9,39.0,51.0,26.0
39,2000,2,10,44.0,53.0,34.0
40,2000,2,11,50.0,60.0,39.0
41,2000,2,12,34.0,39.0,28.0
42,2000,2,13,32.0,36.0,27.0
43,2000,2,14,49.0,62.0,36.0
44,2000,2,15,39.0,43.0,35.0
45,2000,2,16,50.0,64.0,35.0
46,2000,2,17,36.0,41.0,31.0
47,2000,2,18,33.0,36.0,30.0
48,2000,2,19,42.0,49.0,35.0
49,2000,2,20,42.0,47.0,36.0
50,2000,2,21,42.0,47.0,37.0
51,2000,2,22,43.0,51.0,34.0
52,2000,2,23,47.0,56.0,37.0
53,2000,2,24,53.0,64.0,42.0
54,2000,2,25,59.0,72.0,45.0
55,2000,2,26,45.0,47.0,43.0
56,2000,2,27,51.0,59.0,43.0
57,2000,2,28,52.0,57.0,47.0
58,2000,2,29,50.0,61.0,38.0
59,2000,3,1,50.0,60.0,40.0
60,2000,3,2,50.0,59.0,40.0
61,2000,3,3,45.0,54.0,36.0
62,2000,3,4,47.0,56.0,37.0
63,2000,3,5,55.0,65.0,45.0
64,2000,3,6,50.0,57.0,43.0
65,2000,3,7,56.0,70.0,41.0
66,2000,3,8,69.0,84.0,54.0
67,2000,3,9,67.0,79.0,54.0
68,2000,3,10,61.0,70.0,51.0
69,2000,3,11,53.0,56.0,49.0
70,2000,3,12,45.0,52.0,38.0
71,2000,3,13,42.0,50.0,34.0
72,2000,3,14,47.0,56.0,38.0
73,2000,3,15,57.0,71.0,43.0
74,2000,3,16,62.0,69.0,54.0
75,2000,3,17,47.0,62.0,32.0
76,2000,3,18,34.0,40.0,27.0
77,2000,3,19,40.0,46.0,33.0
78,2000,3,20,44.0,49.0,39.0
79,2000,3,21,42.0,43.0,41.0
80,2000,3,22,47.0,50.0,43.0
81,2000,3,23,53.0,63.0,42.0
82,2000,3,24,58.0,65.0,50.0
83,2000,3,25,59.0,68.0,50.0
84,2000,3,26,60.0,66.0,53.0
85,2000,3,27,57.0,67.0,47.0
86,2000,3,28,54.0,61.0,46.0
87,2000,3,29,52.0,59.0,44.0
88,2000,3,30,53.0,63.0,43.0
89,2000,3,31,51.0,60.0,42.0
90,2000,4,1,57.0,67.0,46.0
91,2000,4,2,62.0,70.0,53.0
92,2000,4,3,68.0,76.0,60.0
93,2000,4,4,57.0,69.0,44.0
94,2000,4,5,47.0,55.0,38.0
95,2000,4,6,65.0,80.0,49.0
96,2000,4,7,64.0,72.0,56.0
97,2000,4,8,61.0,80.0,41.0
98,2000,4,9,44.0,53.0,34.0
99,2000,4,10,53.0,64.0,42.0
100,2000,4,11,53.0,58.0,48.0
101,2000,4,12,50.0,55.0,45.0
102,2000,4,13,46.0,50.0,41.0
103,2000,4,14,51.0,60.0,42.0
104,2000,4,15,57.0,62.0,52.0
105,2000,4,16,71.0,80.0,61.0
106,2000,4,17,56.0,65.0,46.0
107,2000,4,18,47.0,49.0,44.0
108,2000,4,19,58.0,68.0,47.0
109,2000,4,20,59.0,66.0,51.0
110,2000,4,21,57.0,62.0,52.0
111,2000,4,22,54.0,58.0,50.0
112,2000,4,23,52.0,57.0,47.0
113,2000,4,24,59.0,69.0,48.0
114,2000,4,25,53.0,59.0,47.0
115,2000,4,26,50.0,56.0,44.0
116,2000,4,27,49.0,51.0,47.0
117,2000,4,28,56.0,62.0,49.0
118,2000,4,29,61.0,71.0,50.0
119,2000,4,30,65.0,72.0,57.0
120,2000,5,1,62.0,72.0,52.0
121,2000,5,2,65.0,71.0,59.0
122,2000,5,3,63.0,71.0,54.0
123,2000,5,4,66.0,75.0,56.0
124,2000,5,5,76.0,88.0,64.0
125,2000,5,6,81.0,91.0,70.0
126,2000,5,7,84.0,94.0,73.0
127,2000,5,8,83.0,92.0,73.0
128,2000,5,9,84.0,93.0,74.0
