,year,month,day,Mean T,Maximum T,Minimum T
0,2000,1,2,54.0,68,40
1,2000,1,3,60.0,66,54
2,2000,1,4,59.0,70,48
3,2000,1,5,42.0,48,36
4,2000,1,6,40.0,47,32
5,2000,1,7,43.0,52,34
6,2000,1,8,39.0,46,31
7,2000,1,9,44.0,48,40
8,2000,1,10,48.0,53,43
9,2000,1,11,48.0,55,41
10,2000,1,12,43.0,49,37
11,2000,1,13,44.0,58,30
12,2000,1,14,27.0,31,23
13,2000,1,15,29.0,36,22
14,2000,1,16,46.0,60,31
15,2000,1,17,24.0,30,18
16,2000,1,18,19.0,24,14
17,2000,1,19,30.0,38,21
18,2000,1,20,30.0,34,25
19,2000,1,21,21.0,25,16
20,2000,1,22,19.0,24,13
21,2000,1,23,27.0,30,24
22,2000,1,24,35.0,40,29
23,2000,1,25,30.0,34,25
24,2000,1,26,28.0,33,23
25,2000,1,27,22.0,26,18
26,2000,1,28,24.0,31,16
27,2000,1,29,29.0,37,20
28,2000,1,30,28.0,31,24
29,2000,1,31,32.0,38,26
30,2000,2,1,32.0,37,27
31,2000,2,2,29.0,32,25
32,2000,2,3,30.0,36,23
33,2000,2,4,34.0,38,30
34,2000,2,5,36.0,39,32
35,2000,2,6,35.0,39,30
36,2000,2,7,39.0,48,30
37,2000,2,8,32.0,38,26
38,2000,2,9,39.0,51,26
39,2000,2,10,44.0,53,34
40,2000,2,11,50.0,60,39
41,2000,2,12,34.0,39,28
42,2000,2,13,32.0,36,27
43,2000,2,14,49.0,62,36
44,2000,2,15,39.0,43,35
45,2000,2,16,50.0,64,35
46,2000,2,17,36.0,41,31
47,2000,2,18,33.0,36,30
48,2000,2,19,42.0,49,35
49,2000,2,20,42.0,47,36
50,2000,2,21,42.0,47,37
51,2000,2,22,43.0,51,34
52,2000,2,23,47.0,56,37
53,2000,2,24,53.0,64,42
54,2000,2,25,59.0,72,45
55,2000,2,26,45.0,47,43
56,2000,2,27,51.0,59,43
57,2000,2,28,52.0,57,47
58,2000,2,29,50.0,61,38
59,2000,3,1,50.0,60,40
60,2000,3,2,50.0,59,40
61,2000,3,3,45.0,54,36
62,2000,3,4,47.0,56,37
63,2000,3,5,55.0,65,45
64,2000,3,6,50.0,57,43
65,2000,3,7,56.0,70,41
66,2000,3,8,69.0,84,54
67,2000,3,9,67.0,79,54
68,2000,3,10,61.0,70,51
69,2000,3,11,53.0,56,49
70,2000,3,12,45.0,52,38
71,2000,3,13,42.0,50,34
72,2000,3,14,47.0,56,38
73,2000,3,15,57.0,71,43
74,2000,3,16,62.0,69,54
75,2000,3,17,47.0,62,32
76,2000,3,18,34.0,40,27
77,2000,3,19,40.0,46,33
78,2000,3,20,44.0,49,39
79,2000,3,21,42.0,43,41
80,2000,3,22,47.0,50,43
81,2000,3,23,53.0,63,42
82,2000,3,24,58.0,65,50
83,2000,3,25,59.0,68,50
84,2000,3,26,60.0,66,53
85,2000,3,27,57.0,67,47
86,2000,3,28,54.0,61,46
87,2000,3,29,52.0,59,44
88,2000,3,30,53.0,63,43
89,2000,3,31,51.0,60,42
90,2000,4,1,57.0,67,46
91,2000,4,2,62.0,70,53
92,2000,4,3,68.0,76,60
93,2000,4,4,57.0,69,44
94,2000,4,5,47.0,55,38
95,2000,4,6,65.0,80,49
96,2000,4,7,64.0,72,56
97,2000,4,8,61.0,80,41
98,2000,4,9,44.0,53,34
99,2000,4,10,53.0,64,42
100,2000,4,11,53.0,58,48
101,2000,4,12,50.0,55,45
102,2000,4,13,46.0,50,41
103,2000,4,14,51.0,60,42
104,2000,4,15,57.0,62,52
105,2000,4,16,71.0,80,61
106,2000,4,17,56.0,65,46
107,2000,4,18,47.0,49,44
108,2000,4,19,58.0,68,47
109,2000,4,20,59.0,66,51
110,2000,4,21,57.0,62,52
111,2000,4,22,54.0,58,50
112,2000,4,23,52.0,57,47
113,2000,4,24,59.0,69,48
114,2000,4,25,53.0,59,47
115,2000,4,26,50.0,56,44
116,2000,4,27,49.0,51,47
117,2000,4,28,56.0,62,49
118,2000,4,29,61.0,71,50
119,2000,4,30,65.0,72,57
120,2000,5,1,62.0,72,52
121,2000,5,2,65.0,71,59
122,2000,5,3,63.0,71,54
123,2000,5,4,66.0,75,56
124,2000,5,5,76.0,88,64
125,2000,5,6,81.0,91,70
126,2000,5,7,84.0,94,73
127,2000,5,8,83.0,92,73
128,2000,5,9,84.0,93,74
129,2000,5,10,76.0,90,61
130,2000,5,11,69.0,80,57
131,2000,5,12,78.0,90,66
132,2000,5,13,79.0,91,66
133,2000,5,14,70.0,76,63
134,2000,5,15,63.0,70,56
135,2000,5,16,64.0,73,54
136,2000,5,17,67.0,74,59
137,2000,5,18,77.0,87,66
138,2000,5,19,67.0,78,56
139,2000,5,20,56.0,57,54
140,2000,5,21,60.0,65,55
141,2000,5,22,60.0,62,58
142,2000,5,23,65.0,70,59
143,2000,5,24,74.0,83,64
144,2000,5,25,72.0,77,66
145,2000,5,26,71.0,80,61
146,2000,5,27,63.5,68,59
147,2000,5,28,58.0,60,56
148,2000,5,29,63.0,68,58
149,2000,5,30,61.0,67,55
150,2000,5,31,61.0,68,54
151,2000,6,1,75.0,89,61
152,2000,6,2,85.0,95,74
153,2000,6,3,74.0,81,67
154,2000,6,4,68.0,74,62
155,2000,6,5,66.0,71,61
156,2000,6,6,62.0,64,59
157,2000,6,7,69.0,79,59
158,2000,6,8,74.0,84,63
159,2000,6,9,79.0,91,67
160,2000,6,10,84.0,95,73
161,2000,6,11,87.0,97,76
162,2000,6,12,82.0,93,70
163,2000,6,13,66.0,70,62
164,2000,6,14,66.0,69,63
165,2000,6,15,76.0,85,66
166,2000,6,16,78.0,86,70
167,2000,6,17,84.0,91,77
168,2000,6,18,83.0,91,74
169,2000,6,19,71.0,75,66
170,2000,6,20,73.0,83,62
171,2000,6,21,77.0,85,68
172,2000,6,22,81.0,89,72
173,2000,6,23,81.0,88,73
174,2000,6,24,80.0,88,71
175,2000,6,25,85.0,93,76
176,2000,6,26,82.0,92,71
177,2000,6,27,82.0,88,75
178,2000,6,28,75.0,79,71
179,2000,6,29,75.0,81,68
180,2000,6,30,74.0,83,64
181,2000,7,1,78.0,86,70
182,2000,7,2,80.0,89,70
183,2000,7,3,82.0,92,71
184,2000,7,4,81.0,88,73
185,2000,7,5,82.0,88,76
186,2000,7,6,78.0,85,70
187,2000,7,7,75.0,81,68
188,2000,7,8,72.0,81,63
189,2000,7,9,79.0,90,67
190,2000,7,10,84.0,93,75
191,2000,7,11,78.0,83,72
