T_Local,Ws_crop,Ta_crop,P_mean_crop,Rh_crop,e_crop,Hs_crop,Le_crop,Ustar_crop,Fco2_crop,CO2_crop,DR_crop,UR_crop,DLR_crop,ULR_crop,Rn_crop,Rns_crop,Rnl_crop,Alb_crop,Wd_crop
5/1/13 0:00,0.6826,11.75102,101.286209,96.92809,1.33643,0.168204,,0.04523,0.081192,501.974243,-1.095225,2.451237,347.7955,365.3569,-21.10788,-3.546462,-17.5614,,174.1689
5/1/13 0:30,1.305649,11.718,101.320686,96.90455,1.334187,54.148355,,0.281301,0.819308,704.346008,-2.035975,1.738035,350.4182,367.1813,-20.53706,-3.77401,-16.7631,,66.93378
5/1/13 1:00,1.00748,13.50087,101.374969,85.94043,1.329193,-1.984982,,0.078972,0.010555,821.660583,-2.785794,1.354884,352.3916,372.2372,-23.98632,-4.140678,-19.8456,,164.369
5/1/13 1:30,0.672936,12.97001,101.360916,87.24192,1.303368,8.3503,,0.099445,-0.264191,844.650757,-2.867277,1.654037,345.7,367.1375,-25.95889,-4.521314,-21.4375,,188.933
5/1/13 2:00,0.396384,12.29066,101.344879,92.64416,1.323646,-0.306631,,0.137927,0.294838,859.400635,-1.678149,2.47732,343.3466,364.1319,-24.94081,-4.155469,-20.7853,,47.50461
5/1/13 2:30,0.532663,11.14199,101.342453,94.24249,1.248195,-4.608992,,0.037974,-0.073999,867.895264,-2.784353,1.476845,342.2895,361.4301,-23.40177,-4.261198,-19.1406,,162.9688
5/1/13 3:00,0.616682,10.43634,101.299576,95.81382,1.210624,0.788878,,0.026463,-0.220191,801.559509,-2.556806,1.682455,341.4267,358.4099,-21.22241,-4.239261,-16.9832,,179.8599
5/1/13 3:30,0.600073,9.773964,101.281311,96.63396,1.168396,6.289577,,0.059657,-0.745087,863.11554,-3.047891,1.361819,341.1277,355.6757,-18.9577,-4.40971,-14.548,,153.9736
5/1/13 4:00,0.68262,9.395245,101.279175,97.3427,1.147179,1.044978,,0.031675,0.297846,984.887756,-2.140094,2.093101,340.4036,353.7397,-17.56925,-4.233195,-13.3361,,158.5161
5/1/13 4:30,0.643949,8.733781,101.275871,97.57091,1.099451,-0.406746,,0.020493,0.206704,1150.389526,-2.497329,1.519239,340.182,352.6298,-16.46442,-4.016568,-12.4478,,188.477
5/1/13 5:00,0.552874,8.595237,101.278259,97.95296,1.093459,0.788578,,0.050409,2.794557,,-1.901677,1.904952,339.8387,351.4943,-15.4622,-3.806629,-11.6556,,193.8515
5/1/13 5:30,0.448441,8.237524,,98.0881,1.068731,,,,,,0.479033,2.210262,339.2116,350.0686,-12.58821,-1.731229,-10.857,,163.1471
5/1/13 6:00,0.605798,8.362227,,98.35549,1.080818,,,,,,34.67219,8.070395,339.6115,350.8391,15.37419,26.601795,-11.2276,0.249464,182.0928
5/1/13 6:30,0.395255,9.186968,,98.41394,1.144093,,,,,,104.2426,19.09352,345.0101,357.1917,72.96743,85.14908,-12.1816,0.185577,163.3212
5/1/13 7:00,0.227548,11.94638,,98.44959,1.376205,,,,,,196.6821,33.84581,357.7532,371.7159,148.8735,162.83629,-13.9627,0.172134,144.224
5/1/13 7:30,0.523419,13.08876,101.427612,93.91997,1.414535,20.486218,,0.0835,-5.442663,1000.07605,287.0343,45.1377,366.3445,386.538,221.7031,241.8966,-20.1935,0.158052,14.59729
5/1/13 8:00,0.767788,15.71834,101.414063,69.27979,1.237772,25.846373,54.198795,0.073289,0.170139,801.912598,407.2534,64.92529,343.2327,396.7816,288.7792,342.32811,-53.5489,0.15895,14.23578
5/1/13 8:30,0.660125,17.69788,101.460205,55.56271,1.125304,49.982588,89.023459,0.098287,-0.047106,767.303711,515.5327,77.20881,322.1342,411.979,348.4791,438.32389,-89.8448,0.150132,18.19647
5/1/13 9:00,0.827591,19.04436,101.467773,48.88148,1.076745,74.807826,97.395229,0.122363,-0.006641,756.801636,609.7567,81.34568,331.4572,426.1639,433.7042,528.41102,-94.7067,0.133497,12.69757
5/1/13 9:30,1.469862,20.17902,101.483566,39.71618,0.939149,103.369178,114.929953,0.250331,-0.37045,748.575073,705.2034,90.89504,336.9861,435.402,515.8925,614.30836,-98.4159,0.128895,88.59833
5/1/13 10:00,2.115976,21.22438,101.477882,34.05921,0.858457,110.228809,242.74844,0.223022,-0.531021,738.24292,780.5549,100.5568,339.3702,441.476,577.8923,679.9981,-102.1058,0.128807,147.4728
5/1/13 10:30,1.87416,21.90735,101.434471,33.53759,0.881431,145.218075,244.325298,0.258828,-0.447079,733.13562,842.7007,109.5877,343.9662,449.3299,627.7492,733.113,-105.3637,0.130044,92.93909
5/1/13 11:00,1.677611,22.27323,101.450127,31.99838,0.859953,156.336738,230.518687,0.22527,-0.208063,732.001587,882.2749,114.1188,347.0118,454.4602,660.7076,768.1561,-107.4484,0.129361,71.78561
5/1/13 11:30,2.407721,22.72997,101.387924,29.80859,0.82361,181.154604,276.270769,0.323978,-0.289142,729.699585,916.9855,113.2959,348.4142,457.2944,694.8094,803.6896,-108.8802,0.123558,84.13568
5/1/13 12:00,1.666841,23.08639,101.377472,26.74077,0.754974,172.419097,219.701162,0.174535,-0.145166,727.776855,929.7402,112.5767,349.6479,462.7354,704.076,817.1635,-113.0875,0.121084,57.27573
5/1/13 12:30,1.911898,23.54387,101.316101,26.6991,0.774911,187.546116,215.144627,0.261116,-0.059886,720.399231,928.5479,112.5194,352.2772,465.9553,702.3504,816.0285,-113.6781,0.121178,65.47314
5/1/13 13:00,1.39564,23.61996,101.273445,26.51244,0.773008,152.974741,367.891934,0.628034,-0.32742,716.341003,905.7508,109.5961,353.8882,466.5887,683.4541,796.1547,-112.7005,0.121002,117.8628
5/1/13 13:30,1.60295,24.12249,101.250305,27.88206,0.837938,128.710965,260.040901,0.178224,-0.432643,711.637085,878.0062,109.6879,356.7674,467.8493,657.2363,768.3183,-111.0819,0.124955,180.7076
5/1/13 14:00,1.57706,24.64183,101.245552,27.09936,0.840189,186.592971,208.499332,0.257388,-0.117824,711.592651,818.7249,107.2286,359.9449,469.8697,601.5714,711.4963,-109.9248,0.13096,43.37903
5/1/13 14:30,1.971046,24.85574,101.158592,27.08451,0.850441,168.350509,145.657518,0.130583,0.01185,710.781982,750.7361,96.52937,360.4857,468.1884,546.504,654.20673,-107.7027,0.128583,31.64307
5/1/13 15:00,1.796551,24.71266,101.126381,28.76043,0.89539,111.476647,243.689758,0.139308,-0.404365,705.459656,674.7373,87.76577,359.6656,462.0944,484.5428,586.97153,-102.4288,0.1301,92.73004
