T_Local,Ws_grass,Ta_grass,P_mean_grass,Rh_grass,e_grass,Hs_grass,Le_grass,Ustar_grass,Fco2_grass,CO2_grass,DR_grass,UR_grass,DLR_grass,ULR_grass,Rn_grass,Rns_grass,Rnl_grass,Alb_grass,Wd_grass
5/1/13 0:00,0.800581,13,100.973015,91.2,1.365,-3.473647,0.743987,0.046662,0.049607,747.026123,-2.248553,2.236219,315.4177,366.7641,-55.83117,-4.484772,-51.3464,,205.5259
5/1/13 0:30,1.504723,13.59,100.962845,87.7,1.363,-11.913628,2.087776,0.139877,0.171726,745.272766,-1.95522,2.935278,320.461,370.4883,-54.91781,-4.890498,-50.0273,,120.0686
5/1/13 1:00,1.215771,14.61,101.007042,79.14,1.315,-12.084023,3.535911,0.118903,-0.034479,742.84552,-4.144279,2.840864,315.3934,373.5274,-65.11919,-6.985143,-58.134,,66.58331
5/1/13 1:30,0.590366,13.91,101.000977,82.3,1.306,-1.10608,4.683987,0.050483,0.068511,742.160278,-2.745383,1.821377,313.2656,365.4397,-56.74085,-4.56676,-52.1741,,111.2131
5/1/13 2:00,0.940817,14.15,100.997787,76.92,1.241,-21.645518,6.50379,0.129932,0.253941,733.896912,-1.86819,2.583106,311.2624,365.2914,-58.48039,-4.451296,-54.029,,74.50146
5/1/13 2:30,0.729577,12.36,100.996613,87.4,1.254,13.734255,11.082699,0.091961,0.316108,759.572998,-3.734981,0.716642,305.6345,361.2004,-60.01754,-4.451623,-55.5659,,70.20374
5/1/13 3:00,0.677348,11.19,100.976105,88.9,1.182,0.2478,-0.717984,0.037935,0.01149,740.135559,-2.906147,1.049169,300.9002,356.4052,-59.46027,-3.955316,-55.505,,71.1355
5/1/13 3:30,0.575562,11.2,100.959389,85.1,1.131,-0.588043,-3.179205,0.036847,-0.095543,746.128662,-2.532857,1.587207,299.3431,354.425,-59.20195,-4.120064,-55.0819,,113.3592
5/1/13 4:00,0.571018,11.06,100.953545,81.7,1.077,4.089474,-1.07417,0.048621,0.010833,744.003357,-1.880984,2.002614,299.5301,352.636,-56.98949,-3.883598,-53.1059,,96.33081
5/1/13 4:30,0.570561,10.58,100.930969,81.6,1.039,-3.917724,4.133386,0.036558,0.029168,744.131165,-2.184762,1.445303,298.6405,351.266,-56.25555,-3.630065,-52.6255,,78.69171
5/1/13 5:00,0.442374,9.82,100.961205,87.8,1.064,-0.538898,-4.091628,0.045391,0.044718,747.1698,-2.018596,1.826364,296.5811,348.9895,-56.25343,-3.84496,-52.4084,,67.25742
5/1/13 5:30,0.757347,9.56,100.964714,85.4,1.019,0.253149,-1.426043,0.029612,0.004994,756.891846,0.417683,2.338198,295.2022,348.795,-55.51336,-1.920515,-53.5928,,73.396
5/1/13 6:00,0.544093,9.83,100.972313,84.1,1.021,-0.798493,-1.538089,0.038027,0.09304,764.074402,31.84177,7.268134,292.5172,351.7251,-34.63422,24.573636,-59.2079,0.26383,59.03668
5/1/13 6:30,0.653747,10.96,100.999557,87.4,1.144,4.49966,4.184151,0.019083,0.051905,750.493713,99.38448,18.07173,294.9882,363.7326,12.56835,81.31275,-68.7444,0.182305,74.20959
5/1/13 7:00,0.398611,13.11,101.021378,88.1,1.329,29.708526,41.562715,0.08087,-0.039471,785.750916,188.5637,32.27818,299.122,379.5776,75.82996,156.28552,-80.4556,0.171792,12.67633
5/1/13 7:30,0.742288,14.31,101.085442,78.9,1.284,32.8586,107.732989,0.148771,-0.050155,766.403687,293.4127,47.42176,303.9043,389.5277,160.3675,245.99094,-85.6234,0.161765,344.8654
5/1/13 8:00,0.828524,15.62,101.094376,71.21,1.263,39.670245,63.88691,0.108452,-0.07206,743.802124,408.8905,64.70049,308.8232,401.8298,251.1834,344.19001,-93.0066,0.158275,329.9772
5/1/13 8:30,0.671882,17.64,101.106331,56.89,1.145,127.79997,79.040909,0.162683,-0.414293,712.68103,517.1497,79.20714,316.1149,419.5893,334.4681,437.94256,-103.4744,0.153259,333.229
5/1/13 9:00,0.946489,19.42,101.120789,48.89,1.1,171.532087,145.339499,0.214991,-0.285061,699.127014,609.705,90.60831,324.4759,438.3085,405.264,519.09669,-113.8326,0.148592,9.762909
5/1/13 9:30,1.244292,20.62,101.134132,40.01,0.971,181.809027,150.788937,0.206319,-0.11487,694.586121,701.3995,103.6676,328.9233,453.0764,473.5788,597.7319,-124.1531,0.14785,59.49878
5/1/13 10:00,2.148848,21.37,101.132271,33.35,0.848,229.674789,175.216752,0.315625,-0.177386,687.479004,778.2628,114.3456,331.8377,462.4025,533.3525,663.9172,-130.5648,0.146906,83.75049
5/1/13 10:30,2.22171,21.86,101.125839,31.01,0.813,206.480053,158.018003,0.25166,-0.123146,682.34668,840.4924,121.9083,334.7918,470.1323,583.2437,718.5841,-135.3405,0.145061,72.2771
5/1/13 11:00,2.047221,22.5,101.120361,30.17,0.822,223.811903,145.073413,0.294635,-0.123458,675.378662,894.3342,127.6185,337.4312,476.758,627.3888,766.7157,-139.3268,0.142712,32.4726
5/1/13 11:30,1.62818,23.11,101.118118,27.89,0.789,280.100728,196.137907,0.218663,-0.139979,670.383057,924.2634,129.4513,340.4795,485.9188,649.3728,794.8121,-145.4393,0.140062,82.55957
5/1/13 12:00,1.814922,23.55,101.043983,26.57,0.772,266.049624,167.144558,0.319645,-0.120515,669.111328,940.9105,130.3379,342.8201,489.2171,664.1757,810.5726,-146.397,0.138523,56.2236
5/1/13 12:30,1.647237,23.95,101.012268,25.91,0.771,323.744396,204.545884,0.306663,-0.156085,667.033691,939.4965,130.9481,344.0278,492.3873,660.1888,808.5484,-148.3595,0.139378,69.15872
5/1/13 13:00,1.165299,24.13,100.979019,25.8,0.776,283.58566,166.922651,0.182172,-0.155819,662.576355,927.9399,129.0429,346.5552,493.6677,651.7845,798.897,-147.1125,0.139062,38.41223
5/1/13 13:30,1.337518,24.59,100.938164,26.09,0.806,315.876832,171.024866,0.355235,-0.100082,658.091614,892.7924,124.8483,349.4041,495.007,622.3412,767.9441,-145.6029,0.139848,73.41541
5/1/13 14:00,1.5283,25.35,100.89576,26.44,0.855,323.838473,165.302353,0.346121,-0.197796,657.90448,836.4315,116.8214,352.9092,495.8026,576.7167,719.6101,-142.8934,0.13972,104.7156
5/1/13 14:30,1.861575,24.76,100.865662,27.39,0.855,227.94787,155.450854,0.270626,-0.114451,658.498535,763.7056,108.6227,351.4924,488.1084,518.4669,655.0829,-136.616,0.142567,88.71136
5/1/13 15:00,1.350851,25.27,100.788429,27.63,0.889,215.507329,132.375984,0.252879,-0.10149,654.972961,694.172,103.47,353.5427,486.7665,457.4781,590.702,-133.2238,0.149164,29.97681
5/1/13 15:30,1.939475,24.98,100.758308,28.28,0.895,121.0766,107.878713,0.25336,-0.088283,653.564514,594.4766,94.49507,351.9545,478.1779,373.7581,499.98153,-126.2234,0.158977,58.86145
5/1/13 16:00,1.169191,24.81,100.747475,27.8,0.871,108.544269,87.995405,0.185578,-0.08989,654.125549,504.3875,83.56828,350.5724,472.5378,298.8538,420.81922,-121.9654,0.165819,62.29126
5/1/13 16:30,1.093524,25.21,100.700157,28.45,0.913,104.279641,97.22284,0.236864,-0.129173,651.335815,400.4988,69.4912,351.867,467.1794,215.6952,331.0076,-115.3124,0.173666,60.61139
5/1/13 17:00,1.093943,24.7,100.67514,28.8,0.896,39.223721,68.926416,0.163716,-0.095671,653.236511,289.5343,54.79365,349.1217,455.7491,128.1133,234.74065,-106.6274,0.189606,70.16138
5/1/13 17:30,0.975841,24.28,100.674294,31.18,0.946,4.495012,45.001317,0.148254,-0.029954,653.707947,181.2323,37.46044,347.4038,443.5325,47.6432,143.77186,-96.1287,0.207556,50.70294
5/1/13 18:00,1.389276,23.29,100.696259,34.65,0.99,-8.855308,25.522506,0.092186,0.018342,661.725525,98.41008,21.40071,345.3258,429.628,-7.292851,77.00937,-84.3022,0.218217,116.2523
5/1/13 18:30,1.573559,21.94,100.718056,36.57,0.963,-14.939415,18.669034,0.103254,0.025348,671.518127,30.47456,7.228719,340.2134,413.9013,-50.44205,23.245841,-73.6879,0.250325,121.2094
5/1/13 19:00,1.502471,20.88,100.745842,39.28,0.968,-26.356802,31.801843,0.092333,0.142277,681.218872,-0.369384,1.749909,335.9789,402.4484,-68.58878,-2.119293,-66.4695,,110.3542
5/1/13 19:30,1.559146,19.47,100.765686,45.78,1.034,-28.500998,23.685213,0.117866,0.127344,688.463379,-4.120943,1.150977,332.3387,395.2408,-68.17401,-5.27192,-62.9021,,94.7724
5/1/13 20:00,1.400453,18.54,100.779305,50.4,1.075,-17.72024,13.079962,0.074171,0.080321,693.534729,-3.314588,1.292706,330.6859,388.4386,-62.35997,-4.607294,-57.7527,,89.89853
5/1/13 20:30,1.309541,18.7,100.836739,48.97,1.055,-14.322834,14.350345,0.073056,0.081315,689.338013,-2.91205,1.740932,328.7172,386.7681,-62.70391,-4.652982,-58.0509,,85.1087
5/1/13 21:00,1.120203,17.58,100.843483,53.67,1.078,-12.306197,13.035779,0.091526,0.105931,694.361389,-2.527231,1.829087,325.5335,381.0117,-59.83456,-4.356318,-55.4782,,88.09723
5/1/13 21:30,1.486689,17.68,100.866348,50.68,1.024,-36.519544,24.912465,0.169083,0.116696,680.773376,-2.557459,2.632761,325.1274,386.2949,-66.35779,-5.19022,-61.1675,,81.68478
5/1/13 22:00,1.355936,17.29,100.874535,52.15,1.029,-24.000663,13.62519,0.143105,0.062559,678.280701,-3.145346,2.058481,322.3438,384.0814,-66.94146,-5.203827,-61.7376,,84.23969
5/1/13 22:30,0.919866,16.41,100.883774,57.18,1.066,-13.512652,3.925599,0.141796,0.014524,691.03949,-3.715946,1.366649,321.0103,379.5571,-63.62943,-5.082595,-58.5468,,59.18451
5/1/13 23:00,1.376228,15.79,100.888023,61.89,1.109,-23.429246,10.724081,0.152883,0.086961,697.226196,-2.718375,1.823203,325.2938,380.1319,-59.37965,-4.541578,-54.8381,,80.81314
5/1/13 23:30,1.436975,15.57,100.896431,64.52,1.141,-20.73699,9.722018,0.142507,0.070258,701.107056,-2.780767,1.649759,326.9301,380.1979,-57.69835,-4.430526,-53.2678,,79.89673
5/2/13 0:00,1.390018,15.22,100.897018,63.78,1.103,-20.393521,6.292844,0.122462,0.054405,708.189209,-2.724724,1.600002,325.8488,377.8171,-56.29314,-4.324726,-51.9683,,86.17923
