T_Local,Ws_26_5m,Ta_26_5m,P_mean_26_5m,Rh_26_5m,e_26_5m,Hs_26_5m,Le_26_5m,Ustar_26_5m,Fco2_26_5m,CO2_26_5m,DR_26_5m,UR_26_5m,DLR_26_5m,ULR_26_5m,Rn_26_5m,Rns_26_5m,Rnl_26_5m,Alb_26_5m,Wd_26_5m
5/1/13 0:00,0.912772,19.33,100.755432,45.54,1.021,-27.517319,5.928101,0.138958,1.158247,922.567078,-3.3,3.962,334.6,410.9,-83.5,-7.262,-76.25,,314.6906
5/1/13 0:30,2.190144,18.29,100.837532,40.05,0.842,-7.939303,28.50632,0.514932,,820.758606,-4.68,1.927,329.4,408.6,-85.8,-6.607,-79.23,,47.96988
5/1/13 1:00,2.565188,18,100.838661,29.89,0.617,-14.886886,51.084539,0.494374,0.285282,800.401794,-4.918,1.625,324.9,406.7,-88.4,-6.543,-81.8,,68.0463
5/1/13 1:30,1.568203,17.69,100.788338,28.82,0.583,-7.814323,15.004649,0.247321,0.295778,791.702759,-5.262,2.081,322.5,404.5,-89.3,-7.343,-82,,65.33572
5/1/13 2:00,0.916822,17.52,100.784203,29.44,0.589,0.293626,12.243701,0.167332,0.338007,792.892822,-4.812,3.081,320,402.3,-90.2,-7.892,-82.3,,101.6215
5/1/13 2:30,0.800221,17.32,100.774719,29.51,0.583,-2.089864,15.145191,0.164173,0.207248,790.42218,-4.751,3.641,318.3,400.6,-90.7,-8.39,-82.3,,91.48779
5/1/13 3:00,0.916484,17.23,100.754959,29.07,0.571,-0.62268,20.400108,0.213796,0.295197,794.508728,-4.594,3.553,318.6,399.6,-89.2,-8.15,-81,,104.5213
5/1/13 3:30,1.157193,17.05,100.750229,29.73,0.577,-2.146483,17.866341,0.148457,0.212146,799.904053,-4.396,2.882,318.2,398.8,-87.8,-7.278,-80.5,,107.6495
5/1/13 4:00,1.592075,17.06,100.749794,28.65,0.557,-6.326665,26.219377,0.206839,0.498024,794.413147,-4.103,3.173,317.6,398.1,-87.8,-7.276,-80.5,,115.6885
5/1/13 4:30,1.278606,16.98,100.744026,28.37,0.549,-2.584961,7.434581,0.124745,0.130869,791.650146,-4.671,2.731,317.2,397.5,-87.7,-7.402,-80.3,,114.7022
5/1/13 5:00,0.493054,16.69,100.749985,29.9,0.568,-2.737742,8.617576,0.089426,0.140864,800.399292,-4.507,3.737,315.6,395.5,-88.1,-8.24,-79.88,,99.59863
5/1/13 5:30,0.839435,16.63,100.751678,29.51,0.558,-2.880759,6.770251,0.107437,0.107545,799.8479,-1.459,4.091,314.7,394.5,-85.3,-5.55,-79.74,,73.11264
5/1/13 6:00,0.588657,16.55,100.771805,29.39,0.553,-0.281301,2.006315,0.113919,0.019655,799.100708,23.82,7.608,314.4,394.9,-64.27,16.21,-80.5,0.375,62.62741
5/1/13 6:30,0.227904,16.94,100.835663,31.08,0.6,3.57486,34.395246,0.091386,0.563128,815.608459,77.5,14.96,315.2,397.6,-19.85,62.54,-82.4,0.199,162.9104
5/1/13 7:00,0.647168,17.25,100.84185,30.22,0.595,-8.27597,51.843314,0.110505,1.043624,812.01709,153.2,23.61,317.5,404.2,42.86,129.6,-86.7,0.155,170.6063
5/1/13 7:30,0.896739,17.73,100.867874,26.52,0.538,-4.894366,50.62878,0.139798,0.784731,791.98114,240.4,35.48,320.8,413.4,112.3,204.9,-92.6,0.148,112.9508
5/1/13 8:00,1.338786,17.97,100.875305,24.82,0.511,-6.100223,29.852812,0.106596,0.501139,783.827759,347.1,49.13,323.1,421.6,199.5,297.9,-98.4,0.141,125.7498
5/1/13 8:30,1.104098,18.78,100.881584,23.7,0.513,70.474968,52.080847,0.2934,0.415117,775.281738,444.5,59.53,327.6,431.7,280.8,384.9,-104.1,0.134,123.3639
5/1/13 9:00,1.528732,19.27,100.912315,23.62,0.528,85.834844,54.301162,0.232138,0.427511,773.918884,532.1,68.07,332.1,440.5,355.7,464,-108.3,0.128,122.5789
5/1/13 9:30,2.132532,19.98,100.941162,23.59,0.551,145.387244,56.453069,0.420251,0.506955,771.690491,632,78.07,334.8,449.1,439.6,553.9,-114.3,0.124,105.067
5/1/13 10:00,1.985171,20.46,100.95356,23.07,0.554,163.048482,34.028767,0.435866,0.28973,763.502136,712.6,84,337.7,457.8,508.5,628.6,-120.1,0.118,104.0498
5/1/13 10:30,2.121425,21.02,100.935524,21.11,0.525,166.771281,68.612314,0.307818,0.6049,757.488525,785.8,87.8,340.4,467.2,571.2,698,-126.8,0.112,126.1266
5/1/13 11:00,1.944607,21.61,100.907669,21.54,0.556,165.795106,24.216656,0.445028,0.409143,753.606445,830,84.8,344.8,475.3,614.6,745.1,-130.5,0.102,49.04865
5/1/13 11:30,2.019535,22.07,100.881828,21.72,0.577,187.583017,25.807368,0.575401,0.615886,749.638062,866,81.9,347.9,481.9,649.9,783.9,-134,0.095,43.54611
5/1/13 12:00,1.773344,22.58,100.854919,22.29,0.61,182.158023,-89.693356,0.789705,-0.263765,747.851135,879,81.6,350.5,486.7,661.6,797.8,-136.1,0.093,104.3821
5/1/13 12:30,1.914696,22.66,100.783531,22.91,0.63,163.9836,31.151464,0.279421,0.335288,745.184998,876,82.3,353,490.6,656.1,793.7,-137.6,0.094,161.9004
5/1/13 13:00,1.782872,23.12,100.750969,22.92,0.648,280.112414,56.635741,0.537125,0.234916,744.985229,859,81.3,355.3,493.4,639.5,777.7,-138.2,0.095,146.3012
5/1/13 13:30,1.664044,23.57,100.733795,22.9,0.666,201.246724,59.288382,0.346938,-0.125689,742.098389,823,80.7,358.8,495.6,605,741.8,-136.8,0.098,102.536
5/1/13 14:00,1.181071,24.08,100.688118,22.77,0.683,200.817644,-3.406661,0.47297,0.246759,741.092224,773.6,76.04,360.7,497,561.3,697.6,-136.2,0.098,110.6648
5/1/13 14:30,2.042337,23.9,100.639709,23.55,0.698,99.85606,26.447861,0.314897,0.132643,742.561646,703.5,69.07,361.1,493.1,502.4,634.4,-132,0.098,119.3567
5/1/13 15:00,1.498868,24.55,100.594429,23.37,0.721,201.701638,66.08211,0.359743,0.850409,743.243774,637.1,61.29,363,493.4,445.4,575.8,-130.4,0.096,116.6143
5/1/13 15:30,2.3787,24.42,100.534592,24.02,0.735,110.687009,33.589589,0.410528,0.642556,745.337646,529.9,54.86,360.7,486,349.8,475,-125.2,0.105,103.1496
5/1/13 16:00,1.978954,24.58,100.527252,24.33,0.752,118.139646,36.199062,0.391705,0.578353,746.61554,458.3,47.43,361.1,482.2,289.8,410.9,-121,0.103,123.705
5/1/13 16:30,2.517536,24.42,100.506592,24.72,0.756,136.654176,48.960807,0.50216,0.893022,745.887268,362.7,39.26,359.4,475.4,207.5,323.4,-115.9,0.109,132.882
5/1/13 17:00,1.847964,24.32,100.502205,25.21,0.767,63.237751,33.358685,0.359473,0.647819,746.928528,259,30.7,358,468.7,117.6,228.3,-110.7,0.119,141.7548
5/1/13 17:30,2.38596,24.15,100.499962,26.32,0.792,18.053743,55.70875,0.446263,1.609136,755.004517,156.8,19.7,356.5,461.3,32.35,137.1,-104.8,0.126,72.1398
5/1/13 18:00,2.89401,23.51,100.504822,28.26,0.818,47.172538,34.482538,0.676876,1.048,762.864807,86.1,12.29,352.7,452,-25.5,73.81,-99.3,0.145,49.50583
5/1/13 18:30,2.459262,22.92,100.527252,29.25,0.818,37.239148,27.298881,0.507603,0.709508,766.029419,24.89,5.337,348.8,444.8,-76.47,19.56,-96,0.254,51.14423
5/1/13 19:00,2.651954,22.27,100.584106,30.37,0.816,16.569663,14.285753,0.479335,0.12422,770.072205,-1.342,2.327,346.3,438.6,-96,-3.669,-92.3,,61.95126
5/1/13 19:30,3.169945,21.67,100.597763,31.98,0.828,9.921284,10.935228,0.448487,0.629285,771.500366,-5.424,1.597,342.9,433.8,-98,-7.021,-91,,65.88022
5/1/13 20:00,2.560736,21.08,100.614143,34.12,0.852,5.58253,5.269089,0.325752,0.099085,783.933838,-5.605,1.731,340.1,429.8,-97.1,-7.336,-89.7,,63.60681
5/1/13 20:30,1.478269,20.75,100.624962,35.16,0.86,-1.410245,18.10182,0.314364,0.641326,785.295715,-5.505,2.605,338.8,426.9,-96.2,-8.11,-88.1,,90.76996
5/1/13 21:00,1.629885,20.44,100.652084,35.58,0.854,2.476104,10.309516,0.344176,0.460302,774.668701,-5.585,2.439,337.5,424.5,-95,-8.02,-87,,89.27271
5/1/13 21:30,1.512722,19.99,100.663338,36.59,0.855,7.413013,10.885113,0.264412,0.394514,771.671753,-5.501,2.497,336,421.8,-93.9,-7.997,-85.9,,79.9924
5/1/13 22:00,1.546038,19.7,100.713882,37.02,0.849,9.646192,8.633033,0.354796,0.608582,767.185547,-5.254,2.487,334.2,419.7,-93.2,-7.741,-85.4,,87.61258
5/1/13 22:30,2.270838,19.15,100.720268,39.45,0.874,-7.542426,24.816812,0.615366,0.831549,759.147095,-5.134,1.86,333.9,417,-90.1,-6.994,-83.1,,87.74619
5/1/13 23:00,2.503037,18.18,100.726006,43.65,0.911,59.530074,14.839032,0.559089,0.700545,760.370667,-4.655,1.473,337.8,413.5,-81.8,-6.128,-75.7,,103.0246
5/1/13 23:30,2.246088,17.78,100.722923,43.58,0.887,18.973937,23.246241,0.522835,0.511879,759.791809,-4.449,1.859,335.2,411,-82.1,-6.307,-75.8,,100.1203
5/2/13 0:00,2.79626,17.58,100.739731,41.37,0.831,23.619268,72.581473,0.504482,0.466512,758.472656,-4.301,1.741,332,409.4,-83.4,-6.042,-77.35,,100.1165
5/2/13 0:30,3.070876,17.38,100.747482,37.34,0.741,13.77106,18.535693,0.422579,0.190879,762.248901,-4.264,1.535,330.2,407.7,-83.3,-5.799,-77.49,,101.2999
5/2/13 1:00,3.266169,17.08,100.74247,33.61,0.654,29.974973,89.158402,0.60434,-0.19557,772.354553,-3.774,1.403,337.3,406.8,-74.67,-5.176,-69.5,,103.8888
5/2/13 1:30,3.405638,16.96,100.740906,30.78,0.595,13.739462,19.634857,0.447394,0.329939,780.589233,-3.628,1.376,336.1,405.7,-74.59,-5.004,-69.59,,105.1367
5/2/13 2:00,2.573808,16.84,100.733711,31.6,0.606,8.821398,12.059651,0.39326,0.224073,781.939026,-3.532,1.49,340.5,405.1,-69.62,-5.022,-64.6,,105.2316
5/2/13 2:30,2.390471,16.7,100.72007,32.37,0.615,10.187197,0.180515,0.325977,0.035654,787.975403,-3.82,1.643,335.2,403.6,-73.92,-5.463,-68.45,,105.023
5/2/13 3:00,1.850617,16.38,100.663689,36.02,0.67,25.023047,-26.582707,0.338145,-0.116143,795.234192,-4.286,1.787,330.2,401.5,-77.43,-6.073,-71.36,,102.1234
5/2/13 3:30,2.479151,16.05,100.659927,38.66,0.705,7.240017,15.958417,0.444181,0.161783,798.82373,-3.75,1.612,331.8,400.1,-73.64,-5.362,-68.28,,103.0526
5/2/13 4:00,2.064205,15.98,100.711845,39.08,0.709,10.554602,22.849057,0.475452,0.260889,791.306458,-3.769,1.761,333.7,399.6,-71.37,-5.53,-65.84,,98.1745
