,0
0,26.573154706685216
1,26.2085068584326
2,25.876475111991283
3,25.592286533671427
4,25.32317211323459
5,25.095761880809277
6,25.17481179352899
7,26.038840433775988
8,27.545328812218713
9,29.26434796439611
10,30.971559462442087
11,32.402795251300006
12,33.385497429586906
13,33.88551703394819
14,33.97176808012364
15,33.45206521919994
16,32.573389176092405
17,31.348590495085148
18,30.135701489968312
19,29.07759526292614
20,28.38387257473022
21,27.883515161482762
22,27.445289331168453
23,26.991715557592727
