,0
0,23.04258809419514
1,22.74695629328312
2,22.46004242478483
3,22.316910369985067
4,22.19506896305728
5,22.103010818777875
6,22.6949693433549
7,24.557975286315695
8,27.052526466157587
9,29.49649740177648
10,31.471165775551242
11,32.8643977523796
12,33.674311501597856
13,33.950530129403546
14,33.534197990523694
15,32.82545314586156
16,31.58923521050167
17,29.914044412201974
18,27.789507603124434
19,25.559375301738214
20,24.543792621489956
21,24.090479337352065
22,23.783880716331225
23,23.42045255187162
