,Month,Mean T_rural 2000,Mean T_urban 2000,Mean T_rural 2001,Mean T_urban 2001,Mean T_rural 2002,Mean T_urban 2002,Mean T_rural 2003,Mean T_urban 2003,Mean T_rural 2004,Mean T_urban 2004,Mean T_rural 2005,Mean T_urban 2005,Mean T_rural 2006,Mean T_urban 2006,Mean T_rural 2007,Mean T_urban 2007,Mean T_rural 2008,Mean T_urban 2008,Mean T_rural 2009,Mean T_urban 2009,Mean T_rural 2010,Mean T_urban 2010,Mean T_rural 2011,Mean T_urban 2011,Mean T_rural 2012,Mean T_urban 2012,Mean T_rural 2013,Mean T_urban 2013,Mean T_rural 2014,Mean T_urban 2014,Mean T_rural 2015,Mean T_urban 2015,Mean T_rural 2016,Mean T_urban 2016
0,January,0.38888888888889045,1.925925925925927,0.6989247311827955,2.1505376344086002,4.157706093189964,5.591397849462364,-1.9354838709677422,-0.7706093189964156,-2.3476702508960576,-1.5412186379928312,1.3799283154121866,2.1684587813620086,5.295698924731182,6.263440860215053,3.7275985663082443,6.586021505376342,1.890681003584231,3.5573476702508975,-1.5232974910394266,-0.34946236559139776,0.37634408602150654,1.9175627240143376,-0.9767025089605733,0.609318996415769,3.476702508960573,5.564516129032258,2.7329749103942667,5.295698924731182,-2.2222222222222223,-1.0842293906810043,-0.609318996415771,0.45698924731182683,0.17921146953404904,1.4874551971326175
1,February,3.5057471264367814,5.1915708812260535,3.720238095238094,4.6428571428571415,4.146825396825397,5.992063492063491,-0.8531746031746026,0.4960317460317477,1.7432950191570897,3.275862068965516,2.738095238095239,3.4325396825396837,2.271825396825397,3.521825396825397,-1.6369047619047628,0.46626984126984183,2.8065134099616844,4.051724137931036,3.02579365079365,4.15674603174603,-0.5952380952380961,1.3095238095238078,3.6011904761904745,5.049603174603175,5.344827586206896,7.7107279693486594,1.65674603174603,4.2559523809523805,0.4563492063492052,1.795634920634919,-3.75,-2.8869047619047628,3.1226053639846736,4.099616858237549
2,March,9.2831541218638,11.021505376344086,5.5197132616487465,6.469534050179213,7.365591397849461,8.405017921146955,6.702508960573476,7.7060931899641565,7.7060931899641565,8.637992831541219,4.892473118279569,5.985663082437275,7.553763440860213,8.584229390681005,7.302867383512547,9.175627240143369,7.195340501792115,8.512544802867382,6.14695340501792,7.2939068100358435,9.13978494623656,10.833333333333334,6.8458781362007155,8.378136200716845,12.051971326164875,14.050179211469533,4.793906810035844,7.508960573476703,3.6379928315412178,5.035842293906809,4.2831541218638,6.1011904761904745,10.28673835125448,11.406810035842293
3,April,11.74074074074074,13.370370370370372,13.11111111111111,13.703703703703702,13.833333333333334,15.24074074074074,11.74074074074074,12.833333333333334,12.777777777777779,13.777777777777777,13.055555555555555,14.324074074074073,14.129629629629628,15.527777777777779,10.796296296296296,14.212962962962965,13.222222222222221,14.351851851851855,12.712962962962962,14.018518518518519,13.962962962962962,16.23148148148148,14.296296296296298,16.15740740740741,12.925925925925926,15.296296296296296,12.981481481481483,15.722222222222221,11.796296296296298,13.175925925925927,12.814814814814817,14.175925925925926,12.462962962962962,13.462962962962964
4,May,18.333333333333332,20.546594982078854,17.526881720430108,17.65232974910394,16.86379928315412,18.584229390681003,15.286738351254478,16.48745519713262,21.11111111111111,22.069892473118276,15.232974910394269,16.953405017921146,17.410394265232974,19.086021505376348,18.593189964157705,21.917562724014335,15.815412186379929,17.64336917562724,17.59856630824373,19.166666666666668,19.6326164874552,20.761648745519715,19.560931899641574,22.09677419354839,20.564516129032256,22.876344086021504,17.526881720430108,20.42114695340502,18.387096774193548,19.55197132616487,20.465949820788534,21.89068100358423,16.34408602150538,17.625448028673834
5,June,22.796296296296294,24.703703703703706,23.48148148148148,24.796296296296298,23.370370370370367,24.77366255144033,21.11111111111111,22.48148148148148,21.740740740740744,23.962962962962965,23.22222222222222,24.944444444444446,22.805555555555557,24.26851851851852,23.175925925925927,26.555555555555557,24.046296296296294,25.805555555555557,21.90740740740741,23.712962962962965,26.009259259259256,27.24074074074074,24.26851851851852,27.068965517241377,23.09259259259259,26.037037037037035,23.203703703703702,25.944444444444443,23.166666666666668,24.26851851851852,23.185185185185187,24.61111111111111,23.037037037037038,24.222222222222218
6,July,22.724014336917563,24.67741935483871,22.759856630824373,24.89247311827957,26.039426523297493,27.67025089605735,24.354838709677423,26.021505376344088,24.695340501792113,26.702508960573475,25.645161290322577,27.526881720430108,26.56810035842294,28.163082437275982,24.946236559139788,28.127240143369175,25.259856630824373,26.971326164874554,23.69175627240143,25.528673835125446,27.5,28.835125448028673,27.589605734767023,30.636200716845874,27.46415770609319,30.134408602150536,25.824372759856633,28.557347670250895,24.211469534050178,25.806451612903224,25.017921146953405,26.487455197132615,26.32616487455197,28.24372759856631
7,August,23.136200716845874,24.641577060931905,25.16129032258065,26.953405017921146,25.93189964157706,27.22222222222222,24.74910394265233,26.415770609318997,23.584229390681003,25.20609318996416,25.340501792114694,27.07885304659498,25.788530465949822,27.92114695340502,25.25089605734767,27.939068100358426,23.10931899641577,24.946236559139788,24.775985663082437,26.693548387096776,25.23297491039427,27.025089605734763,24.399641577060933,26.971326164874554,25.179211469534053,27.94802867383513,23.351254480286737,26.164874551971323,22.795698924731184,24.283154121863795,23.9426523297491,25.851254480286737,26.11111111111111,27.741935483870968
8,September,18.666666666666664,20.32407407407407,18.592592592592595,20.92592592592593,21.0,23.074074074074073,20.11111111111111,21.77777777777778,20.888888888888886,23.240740740740737,22.212962962962965,24.51851851851852,18.583333333333332,20.500000000000004,21.416666666666668,24.66666666666667,20.777777777777782,22.398148148148145,19.240740740740744,21.194444444444446,21.64814814814815,23.666666666666664,20.72222222222222,23.26851851851852,20.84259259259259,23.49074074074074,19.759259259259256,22.703703703703702,20.370370370370374,22.120370370370367,22.01851851851852,23.48148148148148,22.61111111111111,23.88888888888889
9,October,14.086021505376342,16.164874551971323,13.369175627240143,15.89605734767025,13.440860215053764,14.767025089605731,12.939068100358421,14.480286738351253,13.154121863799284,15.232974910394269,14.310035842293907,15.707885304659499,12.8494623655914,15.519713261648747,17.43727598566308,19.973118279569892,13.07347670250896,14.802867383512547,12.948028673835125,14.829749103942653,14.238351254480287,16.218637992831543,13.691756272401436,16.093189964157705,14.605734767025089,17.00716845878136,14.78494623655914,17.759856630824373,14.856630824372761,15.985663082437277,13.100358422939067,14.910394265232974,15.412186379928317,16.99820788530466
