,Mean T 2000,Mean T 2001,Mean T 2002,Mean T 2003,Mean T 2004,Mean T 2005,Mean T 2006,Mean T 2007,Mean T 2008,Mean T 2009,Mean T 2010,Mean T 2011,Mean T 2012,Mean T 2013,Mean T 2014,Mean T 2015,Mean T 2016,Mean
0,,,,,,,31.666666666666668,,,,,,,,,,,31.666666666666668
1,,,,,,,31.666666666666668,,,,,,,,,,,31.666666666666668
2,,,,,,,31.666666666666668,,,,,,,,,,,31.666666666666668
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,,30.55555555555556,,,,,,32.77777777777778,,,,,,,,,,31.66666666666667
8,,30.55555555555556,,,,,,,,,,,,,,,,30.55555555555556
9,,30.55555555555556,,,,,,,,,,,,,,,,30.55555555555556
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,30.55555555555556,,,,,,,,,,,,,,31.666666666666668,31.111111111111114
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,30.55555555555556,,,,,,,,,,,,,,,30.55555555555556
34,,,31.11111111111111,,,,,,,,,,,,,,,31.11111111111111
35,,,,,,,,,,,,,31.38888888888889,,,,,31.38888888888889
36,,,,,,,,,,,32.22222222222222,,30.55555555555556,,,,,31.388888888888893
37,,,,,,,,,,,31.11111111111111,,32.22222222222222,,,,,31.666666666666664
38,,,,,,,,,,,,,32.77777777777778,,,,,32.77777777777778
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,30.55555555555556,,,,,30.55555555555556
48,,,,,,,,,,,,,32.22222222222222,,,,,32.22222222222222
49,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,31.38888888888889,,,,,,31.38888888888889
52,,,,,,,,,,,,34.166666666666664,,,,,,34.166666666666664
53,,,,,,,,,,,,32.22222222222222,,,,,30.55555555555556,31.388888888888893
54,,,,,,,,,,,33.05555555555556,31.11111111111111,,,,,,32.083333333333336
55,,,,,,,,,,,30.83333333333333,,,,,,30.55555555555556,30.694444444444443
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,31.666666666666668,,,,,,31.666666666666668
60,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,30.83333333333333,,,,,30.83333333333333
83,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,31.11111111111111,,,,,,,31.11111111111111
86,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,30.55555555555556,,,,,,,30.55555555555556
90,,,,,,,,,,,,,30.55555555555556,,,,,30.55555555555556
91,,,,,,,,,,,,,,,,,,
