,Month,UHI_intensityMaximum T 2000,UHI_intensityMaximum T 2001,UHI_intensityMaximum T 2002,UHI_intensityMaximum T 2003,UHI_intensityMaximum T 2004,UHI_intensityMaximum T 2005,UHI_intensityMaximum T 2006,UHI_intensityMaximum T 2007,UHI_intensityMaximum T 2008,UHI_intensityMaximum T 2009,UHI_intensityMaximum T 2010,UHI_intensityMaximum T 2011,UHI_intensityMaximum T 2012,UHI_intensityMaximum T 2013,UHI_intensityMaximum T 2014,UHI_intensityMaximum T 2015,UHI_intensityMaximum T 2016,Mean
0,January,0.4629629629629646,-0.19713261648745295,0.2150537634408618,0.25089605734767084,0.017921146953404632,0.5017921146953421,-0.39426523297490945,1.8100358422939067,0.19713261648745473,0.12544802867383176,0.5017921146953377,0.32258064516128915,1.1111111111111107,1.559139784946236,0.2688172043010755,0.17921146953405298,0.16129032258064413,0.41728160798369535
1,February,-0.01915708812260597,-0.21825396825397192,-0.01984126984127066,0.31746031746031633,0.03831417624521194,-0.1190476190476204,-0.13888888888888928,1.3888888888888893,-0.05747126436781791,-0.3769841269841283,1.13095238095238,0.17857142857142883,1.0344827586206886,1.785714285714283,0.15873015873015817,-0.33730158730158566,0.03831417624521194,0.2814401622718046
2,March,0.16129032258064235,-0.627240143369173,-0.01792114695340352,-0.32258064516128826,-0.1792114695340512,-0.03584229390681415,-0.5555555555555554,0.5734767025089607,0.1612903225806459,0.017921146953405298,0.39426523297490945,0.5913978494623642,1.0573476702508984,1.8637992831541226,0.501792114695343,-0.1587301587301564,0.17921146953405298,0.21204180596970018
3,April,0.5370370370370381,-1.1111111111111143,0.2592592592592524,0.07407407407407263,0.12962962962962976,0.22222222222222143,0.05555555555556069,1.435185185185187,-0.03703703703703454,0.09259259259259167,1.018518518518519,1.1296296296296333,0.8148148148148131,1.8888888888888822,0.22222222222222499,0.2037037037037095,-0.16666666666666075,0.3981481481481486
4,May,0.6451612903225872,-1.8817204301075208,0.2688172043010759,0.4301075268817236,0.573476702508966,0.2688172043010759,0.07168458781361764,1.4695340501792096,0.4121863799283112,0.6630824372759818,0.30465949820788296,1.469534050179206,1.379928315412183,2.1146953405017967,0.23297491039426887,-0.12544802867382643,0.32258064516128826,0.5070630402698723
5,June,1.1481481481481488,-0.09259259259259167,0.5555555555555536,0.7407407407407476,1.537037037037038,0.8518518518518512,0.46296296296295836,2.185185185185187,0.6296296296296298,1.0,0.14814814814814525,1.4367816091954069,1.7037037037036988,1.8333333333333357,0.18518518518518334,0.5370370370370345,-0.01851851851851194,0.8731875892119303
6,July,0.8960573476702471,0.7885304659498154,0.5734767025089589,1.0752688172043001,1.3620071684587884,1.3261648745519778,0.5197132616487536,2.0250896057347596,0.7347670250896101,0.6630824372759854,0.16129032258064768,1.8637992831541226,1.9713261648745544,1.9354838709677473,0.46594982078853064,0.07168458781361764,0.55555555555555,0.9993674889310569
7,August,0.5376344086021518,0.5555555555555536,0.14336917562723883,1.1827956989247426,1.1827956989247248,1.0215053763440771,1.0394265232974895,1.7025089605734784,0.5376344086021483,0.9318996415770613,0.5913978494623571,1.20071684587813,1.7383512544802855,1.6666666666666679,0.23297491039426887,0.17921146953405298,0.25089605734766707,0.8644317942230645
8,September,0.35185185185184764,0.7407407407407405,0.6111111111111178,0.9444444444444464,1.3703703703703738,1.0370370370370345,0.8703703703703667,1.4259259259259238,0.2592592592592595,0.8703703703703702,0.5555555555555536,1.4259259259259345,1.5925925925925917,1.2222222222222214,0.24074074074074403,-0.20370370370369884,-0.11111111111111427,0.7766884531590419
9,October,-0.14336917562723528,0.3405017921147042,0.35842293906809886,0.21505376344085647,0.8602150537634401,0.44802867383511824,1.6666666666666643,0.7347670250895995,0.2867383512544812,0.824372759856633,0.35842293906809886,1.1648745519713302,1.5232974910394255,1.3978494623655955,-0.10752688172042468,-0.017921146953398193,0.035842293906810596,0.5850727387729293
10,November,-0.40740740740740833,-0.07407407407407263,0.037037037037039866,0.01851851851851727,0.3148148148148202,0.29629629629629406,1.777777777777775,0.0,0.11111111111111249,0.7592592592592613,-0.05555555555555536,0.6296296296296298,1.5740740740740709,1.4999999999999982,-0.3518518518518512,0.07407407407407263,-0.45977011494252906,0.3378784463977162
11,December,0.17921146953404943,0.05376344086021412,0.23297491039426266,-0.35842293906809797,0.3405017921146971,0.16129032258064413,1.738351254480289,0.46594982078852976,0.08960573476702294,1.075268817204302,-0.03584229390681237,0.8781362007168436,1.6129032258064484,0.9053497942386866,-0.46594982078852887,-0.1254480286738353,0.5376344086021501,0.42854577115593323
