,Maximum T 2000,Maximum T 2001,Maximum T 2002,Maximum T 2003,Maximum T 2004,Maximum T 2005,Maximum T 2006,Maximum T 2007,Maximum T 2008,Maximum T 2009,Maximum T 2010,Maximum T 2011,Maximum T 2012,Maximum T 2013,Maximum T 2014,Maximum T 2015,Maximum T 2016,Mean
0,,30.55555555555556,,27.77777777777778,30.0,,,,,29.444444444444443,28.88888888888889,,,30.0,27.77777777777778,,,29.20634920634921
1,30.55555555555556,,,31.666666666666668,,,,,,28.33333333333333,28.88888888888889,,,,26.11111111111111,,,29.111111111111107
2,30.0,,,,,,,,29.444444444444443,30.55555555555556,,31.11111111111111,,27.77777777777778,26.666666666666668,,28.33333333333333,29.126984126984123
3,29.444444444444443,30.0,,29.444444444444443,,,,,,,,28.33333333333333,,28.88888888888889,28.88888888888889,,28.88888888888889,29.126984126984127
4,27.77777777777778,,,29.444444444444443,25.0,,,,30.0,30.0,,32.22222222222222,,28.33333333333333,,,28.88888888888889,28.958333333333332
5,24.444444444444443,,27.22222222222222,29.444444444444443,23.33333333333333,,,,,26.11111111111111,,,,23.88888888888889,28.33333333333333,27.77777777777778,,26.742919389978212
6,,,26.11111111111111,26.666666666666668,23.33333333333333,30.55555555555556,,,,28.88888888888889,,,,28.33333333333333,28.33333333333333,28.33333333333333,,27.569444444444443
7,,,27.77777777777778,30.0,27.22222222222222,,,,28.88888888888889,29.444444444444443,,,,,28.88888888888889,28.88888888888889,,28.73015873015873
8,,,30.0,28.88888888888889,,25.0,,,28.33333333333333,,,,,,28.88888888888889,,28.88888888888889,28.33333333333333
9,,,,29.444444444444443,,,27.77777777777778,,30.55555555555556,,,,,31.11111111111111,,24.444444444444443,,28.666666666666664
10,,,,28.88888888888889,,,28.88888888888889,31.11111111111111,26.11111111111111,,,,,30.55555555555556,28.33333333333333,,,28.98148148148148
11,27.77777777777778,28.33333333333333,,31.666666666666668,29.444444444444443,,28.88888888888889,,28.88888888888889,,30.0,,31.666666666666668,,23.88888888888889,29.444444444444443,,29.0
12,23.88888888888889,29.444444444444443,,,27.22222222222222,,30.55555555555556,,,29.444444444444443,26.11111111111111,29.444444444444443,,,28.33333333333333,28.88888888888889,,28.148148148148145
13,25.0,28.88888888888889,,,23.88888888888889,,,,30.0,29.444444444444443,27.22222222222222,28.33333333333333,,25.55555555555556,27.77777777777778,,,27.65359477124183
14,,28.88888888888889,,,27.77777777777778,,,,27.77777777777778,,25.55555555555556,28.33333333333333,30.55555555555556,27.77777777777778,25.55555555555556,,,28.06826434277415
15,,30.55555555555556,,,29.444444444444443,25.0,,,29.444444444444443,,,30.55555555555556,,27.77777777777778,28.33333333333333,,,28.73015873015873
16,26.11111111111111,,,30.0,28.33333333333333,,,,,,,,,28.33333333333333,,,,28.194444444444443
17,22.77777777777778,28.88888888888889,,28.33333333333333,29.444444444444443,,31.11111111111111,28.88888888888889,,,27.77777777777778,,30.0,26.11111111111111,27.77777777777778,,,28.303624480095063
18,26.11111111111111,27.22222222222222,,30.0,,25.55555555555556,,24.444444444444443,,,,,26.11111111111111,26.666666666666668,28.88888888888889,,,27.20406681190995
19,24.444444444444443,30.55555555555556,,31.666666666666668,,,,23.33333333333333,27.77777777777778,,,,28.88888888888889,,28.88888888888889,,,28.288398692810457
20,25.55555555555556,28.88888888888889,,,27.77777777777778,,,20.55555555555556,29.444444444444443,,,,29.444444444444443,,,28.88888888888889,29.444444444444443,27.79593318809005
21,27.22222222222222,,,,27.22222222222222,,,23.88888888888889,30.0,28.88888888888889,,28.88888888888889,31.11111111111111,,26.11111111111111,28.33333333333333,28.88888888888889,28.23826500297088
22,27.22222222222222,28.88888888888889,,28.88888888888889,,30.0,,26.11111111111111,29.444444444444443,,29.444444444444443,27.77777777777778,,27.22222222222222,23.33333333333333,28.88888888888889,27.77777777777778,27.998994469582705
23,29.444444444444443,,,27.22222222222222,,29.444444444444443,,,,30.0,23.33333333333333,31.666666666666668,,30.0,26.666666666666668,,30.0,28.80065359477124
24,29.444444444444443,28.33333333333333,,,29.444444444444443,29.444444444444443,,,,30.0,27.22222222222222,28.33333333333333,28.88888888888889,28.88888888888889,27.77777777777778,28.88888888888889,,28.90795206971677
25,28.88888888888889,28.33333333333333,29.444444444444443,,29.444444444444443,27.77777777777778,,,26.666666666666668,,30.0,,28.33333333333333,,,26.666666666666668,,28.552287581699346
26,27.22222222222222,,,30.0,,24.444444444444443,,,27.22222222222222,30.0,28.33333333333333,27.22222222222222,,,,26.11111111111111,,27.854030501089326
27,27.77777777777778,,24.444444444444443,29.444444444444443,,,,31.11111111111111,23.33333333333333,25.55555555555556,28.88888888888889,30.0,,31.666666666666668,28.33333333333333,27.22222222222222,,28.107298474945534
28,25.55555555555556,29.444444444444443,21.11111111111111,,,,,31.666666666666668,23.88888888888889,30.55555555555556,,27.77777777777778,,,25.55555555555556,,,27.280319535221494
29,28.33333333333333,29.444444444444443,21.11111111111111,,30.55555555555556,30.55555555555556,27.22222222222222,,,28.88888888888889,,28.88888888888889,,,27.77777777777778,,,28.294117647058822
30,28.88888888888889,30.55555555555556,26.666666666666668,26.11111111111111,29.444444444444443,,25.0,,,24.444444444444443,,29.444444444444443,,,,,,27.89034132171387
31,30.0,,,29.444444444444443,,,,28.33333333333333,28.88888888888889,29.444444444444443,26.666666666666668,,,30.55555555555556,,30.55555555555556,,29.236111111111114
32,31.666666666666668,23.33333333333333,,27.22222222222222,,,,27.22222222222222,30.0,28.33333333333333,28.33333333333333,,,30.55555555555556,,24.444444444444443,26.666666666666668,28.018419489007723
33,,26.11111111111111,,25.0,,30.0,,28.33333333333333,,27.22222222222222,,,,,,27.77777777777778,24.444444444444443,27.52450980392157
34,31.11111111111111,,,,27.77777777777778,31.11111111111111,,30.55555555555556,29.444444444444443,29.444444444444443,,,,,26.666666666666668,23.88888888888889,23.88888888888889,28.209876543209877
35,31.11111111111111,30.0,,,,31.666666666666668,28.88888888888889,30.55555555555556,28.33333333333333,27.22222222222222,,,,,28.88888888888889,28.33333333333333,,29.444444444444443
36,29.444444444444443,26.666666666666668,,,,,26.666666666666668,,30.0,,,,,,,30.0,,28.555555555555554
