,Maximum T 2000,Maximum T 2001,Maximum T 2002,Maximum T 2003,Maximum T 2004,Maximum T 2005,Maximum T 2006,Maximum T 2007,Maximum T 2008,Maximum T 2009,Maximum T 2010,Maximum T 2011,Maximum T 2012,Maximum T 2013,Maximum T 2014,Maximum T 2015,Maximum T 2016,Mean
0,,,36.11111111111112,,,,38.333333333333336,36.11111111111112,34.44444444444444,,,38.333333333333336,31.666666666666668,,,32.22222222222222,31.666666666666668,34.54248366013072
1,,,36.66666666666666,,,34.44444444444444,38.333333333333336,37.77777777777778,,,,35.55555555555556,33.888888888888886,32.77777777777778,,32.22222222222222,30.0,34.40196078431373
2,,31.11111111111111,33.888888888888886,,32.22222222222222,34.44444444444444,38.888888888888886,36.66666666666666,,,31.11111111111111,,35.0,,,33.888888888888886,,33.91176470588235
3,,,35.0,,33.888888888888886,36.66666666666666,33.888888888888886,37.77777777777778,,32.77777777777778,34.44444444444444,,36.11111111111112,,,33.333333333333336,,34.61764705882353
4,,32.22222222222222,35.55555555555556,,,36.11111111111112,33.333333333333336,33.333333333333336,,,34.44444444444444,,37.22222222222222,,30.55555555555556,31.666666666666668,,33.59803921568628
5,,36.11111111111112,,,,,33.333333333333336,35.0,33.333333333333336,,32.77777777777778,32.22222222222222,33.888888888888886,,,,32.77777777777778,33.68055555555556
6,34.44444444444444,37.22222222222222,,,,,35.55555555555556,36.11111111111112,,,,35.55555555555556,32.22222222222222,,,,31.666666666666668,34.21160130718955
7,32.77777777777778,37.22222222222222,,,,32.22222222222222,31.11111111111111,41.11111111111112,,,32.77777777777778,34.44444444444444,33.333333333333336,,,,30.55555555555556,33.728758169934636
8,32.77777777777778,38.333333333333336,,,,,,35.55555555555556,,35.55555555555556,34.44444444444444,34.44444444444444,34.44444444444444,33.333333333333336,,,,34.51706608569353
9,31.11111111111111,37.22222222222222,31.11111111111111,,,,,34.44444444444444,,36.11111111111112,36.66666666666666,33.333333333333336,,,,,34.44444444444444,34.03050108932462
10,,31.11111111111111,32.77777777777778,,,25.0,,,,32.77777777777778,35.55555555555556,,33.333333333333336,,,31.666666666666668,36.11111111111112,32.13870733478577
11,,,35.0,,,36.11111111111112,,35.55555555555556,,31.666666666666668,,31.666666666666668,,32.77777777777778,,,35.55555555555556,33.6764705882353
12,,,36.11111111111112,,,36.66666666666666,,34.44444444444444,,,,,32.22222222222222,,,,37.22222222222222,35.333333333333336
13,,,36.11111111111112,33.333333333333336,,36.66666666666666,33.888888888888886,31.666666666666668,,,,,,,,30.55555555555556,36.66666666666666,34.12698412698413
14,,,34.44444444444444,33.333333333333336,,31.666666666666668,32.77777777777778,35.55555555555556,,,,,,,,31.666666666666668,33.888888888888886,33.33333333333333
15,31.666666666666668,,35.0,32.77777777777778,,,32.22222222222222,34.44444444444444,,33.333333333333336,34.44444444444444,,32.77777777777778,,,32.77777777777778,35.55555555555556,33.32144979203803
16,,31.11111111111111,35.0,,,,32.22222222222222,36.11111111111112,31.666666666666668,33.333333333333336,32.77777777777778,32.22222222222222,35.55555555555556,,30.55555555555556,33.333333333333336,33.333333333333336,33.00653594771242
17,,,36.66666666666666,,,,,,33.888888888888886,34.44444444444444,,33.333333333333336,,,,31.11111111111111,32.22222222222222,33.61111111111111
18,,,36.11111111111112,,32.77777777777778,,32.22222222222222,,33.333333333333336,32.22222222222222,,,,,,32.22222222222222,32.22222222222222,33.01587301587302
19,,,33.333333333333336,,34.44444444444444,32.22222222222222,33.888888888888886,,,33.888888888888886,32.77777777777778,31.11111111111111,,33.333333333333336,,,31.666666666666668,32.96296296296296
20,,,32.77777777777778,33.333333333333336,,34.44444444444444,,,,34.44444444444444,31.11111111111111,30.55555555555556,,33.888888888888886,30.55555555555556,,,32.638888888888886
21,,31.11111111111111,35.55555555555556,34.44444444444444,,31.11111111111111,33.333333333333336,,,,31.666666666666668,,,33.333333333333336,,,,32.93650793650794
22,,,30.0,,30.55555555555556,,33.888888888888886,,,31.666666666666668,,,,,,,,31.52777777777778
23,,30.0,32.22222222222222,,,,33.333333333333336,33.333333333333336,31.666666666666668,,,,32.77777777777778,,,31.666666666666668,,32.142857142857146
24,,,31.11111111111111,,,,34.44444444444444,36.66666666666666,31.666666666666668,,,,,,,,31.666666666666668,33.11111111111111
25,,,,,,,,32.22222222222222,,32.22222222222222,,,,33.333333333333336,,,33.888888888888886,32.916666666666664
26,,32.22222222222222,,,,,33.333333333333336,31.666666666666668,,,,,33.333333333333336,33.888888888888886,32.22222222222222,,32.77777777777778,32.77777777777778
27,,32.22222222222222,,,33.888888888888886,,32.77777777777778,,,,,,33.333333333333336,,,,30.55555555555556,32.55555555555556
28,,,,32.77777777777778,33.333333333333336,,36.11111111111112,,,,34.44444444444444,,,,,,32.77777777777778,33.88888888888889
29,,,,34.44444444444444,,,,33.333333333333336,,,34.44444444444444,,32.22222222222222,33.333333333333336,,,31.666666666666668,33.24074074074074
30,,,,,,,,,30.0,,35.55555555555556,,35.55555555555556,35.0,34.44444444444444,32.22222222222222,31.666666666666668,33.49206349206349
31,,32.77777777777778,32.77777777777778,,,33.333333333333336,31.666666666666668,,,,,33.333333333333336,38.333333333333336,,32.77777777777778,,,33.26797385620915
32,,,35.55555555555556,,33.333333333333336,30.55555555555556,35.0,,,,,34.44444444444444,35.55555555555556,,35.0,,,34.20634920634921
33,33.333333333333336,,37.77777777777778,,,,33.888888888888886,,34.44444444444444,,32.77777777777778,36.66666666666666,37.77777777777778,,32.77777777777778,,,34.93055555555556
34,,30.55555555555556,38.333333333333336,33.888888888888886,,,35.55555555555556,,,,36.11111111111112,34.44444444444444,37.77777777777778,33.888888888888886,,,,34.66594045025417
35,,,32.22222222222222,34.44444444444444,34.44444444444444,,,,,,38.333333333333336,35.55555555555556,39.44444444444444,35.0,,,32.77777777777778,34.93464052287582
36,,,30.55555555555556,33.888888888888886,32.22222222222222,,,32.77777777777778,,,40.55555555555556,35.0,39.44444444444444,36.66666666666666,,,32.22222222222222,34.549019607843135
37,,,,33.333333333333336,33.888888888888886,,,34.44444444444444,,31.666666666666668,38.888888888888886,36.66666666666666,42.22222222222222,36.11111111111112,33.888888888888886,32.77777777777778,33.888888888888886,35.05718954248366
38,,,34.44444444444444,32.22222222222222,32.22222222222222,,,36.11111111111112,33.888888888888886,,35.0,32.22222222222222,37.22222222222222,,35.0,31.11111111111111,33.888888888888886,33.77723311546841
39,32.22222222222222,32.22222222222222,37.22222222222222,33.333333333333336,,,,38.333333333333336,,,33.888888888888886,33.888888888888886,,,31.666666666666668,32.77777777777778,33.888888888888886,33.82947118241236
40,33.888888888888886,34.44444444444444,,,32.22222222222222,32.77777777777778,31.11111111111111,36.66666666666666,,,,35.55555555555556,33.888888888888886,33.888888888888886,,,,33.58169934640523
41,,,,,,33.333333333333336,33.888888888888886,34.44444444444444,32.22222222222222,,34.44444444444444,36.66666666666666,35.0,31.666666666666668,,30.0,,33.343137254901954
42,,,,,,34.44444444444444,34.44444444444444,,32.77777777777778,32.22222222222222,31.666666666666668,36.66666666666666,33.888888888888886,,31.11111111111111,,31.11111111111111,32.983660130718945
43,,,,,,32.22222222222222,30.55555555555556,,31.666666666666668,31.666666666666668,31.666666666666668,35.55555555555556,35.0,,33.888888888888886,,,32.777777777777786
44,,,,,32.22222222222222,,31.666666666666668,,,,28.88888888888889,,,32.77777777777778,31.666666666666668,31.666666666666668,36.66666666666666,32.22222222222222
45,,,33.333333333333336,,,,33.333333333333336,36.11111111111112,31.11111111111111,32.22222222222222,32.77777777777778,,37.22222222222222,36.11111111111112,31.11111111111111,,33.333333333333336,33.5086155674391
46,,32.77777777777778,33.333333333333336,32.22222222222222,,,34.44444444444444,35.0,32.77777777777778,35.55555555555556,36.66666666666666,32.77777777777778,37.22222222222222,36.11111111111112,,,35.0,34.34640522875817
47,,34.44444444444444,35.55555555555556,,,32.77777777777778,37.22222222222222,36.11111111111112,34.44444444444444,30.55555555555556,35.0,35.0,39.44444444444444,36.66666666666666,,,33.888888888888886,34.96229260935143
48,32.22222222222222,,34.44444444444444,,,33.888888888888886,36.11111111111112,35.0,35.0,,35.55555555555556,37.22222222222222,41.66666666666666,36.11111111111112,,32.22222222222222,36.11111111111112,35.28154851684264
49,,,33.888888888888886,,,34.44444444444444,33.888888888888886,35.55555555555556,35.0,,35.0,36.11111111111112,36.11111111111112,37.77777777777778,,35.55555555555556,33.333333333333336,34.959150326797385
50,,,32.77777777777778,,31.11111111111111,32.77777777777778,32.77777777777778,,35.0,,33.888888888888886,35.0,,36.11111111111112,,35.0,,33.58169934640523
51,,,32.77777777777778,33.333333333333336,32.77777777777778,34.44444444444444,34.44444444444444,,34.44444444444444,,35.0,39.44444444444444,,34.44444444444444,,32.77777777777778,31.666666666666668,33.962418300653596
52,,,35.0,32.22222222222222,33.333333333333336,34.44444444444444,33.888888888888886,,33.888888888888886,30.55555555555556,34.44444444444444,42.22222222222222,,32.77777777777778,,30.0,35.0,33.88637506284565
53,,32.22222222222222,37.77777777777778,,,31.11111111111111,,,,,37.77777777777778,39.44444444444444,35.0,32.77777777777778,35.55555555555556,,37.22222222222222,35.13725490196079
54,,34.44444444444444,,,,,32.22222222222222,,,31.11111111111111,38.888888888888886,37.77777777777778,36.11111111111112,,,29.444444444444443,35.0,34.030501089324616
55,,33.333333333333336,,,,34.44444444444444,31.666666666666668,32.77777777777778,30.55555555555556,32.77777777777778,37.77777777777778,33.888888888888886,32.22222222222222,,,31.11111111111111,38.333333333333336,33.363289760348586
56,,32.22222222222222,,32.77777777777778,,36.11111111111112,32.77777777777778,33.333333333333336,,32.22222222222222,31.11111111111111,36.66666666666666,38.333333333333336,,30.55555555555556,32.22222222222222,35.0,33.46656611362494
57,,,,33.333333333333336,,37.22222222222222,35.55555555555556,35.0,31.11111111111111,32.22222222222222,30.55555555555556,33.888888888888886,35.0,,33.333333333333336,,35.0,33.69825708061003
58,,,35.55555555555556,,,,35.0,34.44444444444444,,31.11111111111111,35.0,34.44444444444444,35.55555555555556,32.22222222222222,,32.77777777777778,33.333333333333336,33.755199049316694
59,,,36.11111111111112,,,,34.44444444444444,,32.22222222222222,,34.44444444444444,40.0,31.666666666666668,,,31.11111111111111,31.666666666666668,33.958333333333336
60,,,33.888888888888886,,32.77777777777778,,34.44444444444444,,31.666666666666668,32.22222222222222,,36.11111111111112,32.22222222222222,,,32.22222222222222,31.666666666666668,32.83333333333333
61,,,35.0,,33.333333333333336,,37.22222222222222,34.44444444444444,,31.666666666666668,,37.22222222222222,,,30.55555555555556,32.22222222222222,33.333333333333336,33.67973856209151
62,31.666666666666668,,31.666666666666668,,,,33.333333333333336,34.44444444444444,,,31.11111111111111,37.77777777777778,,35.55555555555556,,,30.55555555555556,33.263888888888886
63,35.0,,29.444444444444443,,,,,32.77777777777778,,32.77777777777778,32.22222222222222,31.11111111111111,,,,,,32.22222222222222
64,,,,,,,,,,,32.22222222222222,,,,30.55555555555556,,,31.388888888888893
65,,,,,,,,,,,32.22222222222222,,,,31.11111111111111,,,31.666666666666664
66,,,33.333333333333336,,,30.0,,,,,31.666666666666668,,,,,,,31.666666666666668
67,,,32.22222222222222,,,32.22222222222222,,,,,33.333333333333336,,,,,,,32.59259259259259
68,,,,,,32.77777777777778,,,37.22222222222222,,,33.888888888888886,,,,,30.0,33.47222222222222
69,,,,,,33.888888888888886,,36.66666666666666,35.55555555555556,,,37.77777777777778,,,,31.11111111111111,,35.0
70,32.77777777777778,,,,35.0,31.11111111111111,,32.22222222222222,36.66666666666666,,,39.44444444444444,35.0,,,,,34.6031746031746
71,35.0,,31.11111111111111,,32.77777777777778,,,,37.22222222222222,,32.22222222222222,34.44444444444444,35.55555555555556,,,,,34.04761904761905
72,36.11111111111112,,34.44444444444444,,,32.77777777777778,,,,,,32.77777777777778,34.44444444444444,,,35.0,35.55555555555556,34.44444444444445
73,33.888888888888886,32.22222222222222,32.77777777777778,,,,,34.44444444444444,32.22222222222222,,32.77777777777778,,,32.22222222222222,,35.0,33.333333333333336,32.951388888888886
74,,32.22222222222222,,,,33.333333333333336,,,31.11111111111111,,34.44444444444444,,,,,31.666666666666668,,32.55555555555556
75,,31.11111111111111,,31.11111111111111,,34.44444444444444,,,33.333333333333336,,32.77777777777778,,,,,31.666666666666668,,32.407407407407405
76,,,,,33.888888888888886,31.11111111111111,,,,,,,,,,32.22222222222222,,32.40740740740741
77,,,,,,,31.11111111111111,,,,,,,,31.11111111111111,33.888888888888886,,32.03703703703704
78,32.77777777777778,31.666666666666668,,,33.888888888888886,,32.77777777777778,35.0,,,30.0,31.666666666666668,,33.333333333333336,35.0,,,32.901234567901234
79,32.77777777777778,29.444444444444443,,,33.888888888888886,,36.11111111111112,36.11111111111112,,,29.444444444444443,,,,35.0,,,33.25396825396825
80,,31.666666666666668,,,,,34.44444444444444,35.55555555555556,,,35.0,,31.666666666666668,,,,32.22222222222222,33.42592592592593
81,,31.666666666666668,,,,,32.22222222222222,,,,34.44444444444444,,37.77777777777778,,,30.55555555555556,33.333333333333336,33.333333333333336
82,,30.55555555555556,,,,,32.77777777777778,33.333333333333336,30.55555555555556,,34.44444444444444,31.11111111111111,39.44444444444444,,,33.333333333333336,32.77777777777778,33.14814814814815
83,,30.0,,,,,35.55555555555556,,,,36.11111111111112,35.55555555555556,37.77777777777778,,,32.77777777777778,,34.164332399626524
84,,,32.77777777777778,32.22222222222222,,,32.22222222222222,,31.666666666666668,,36.66666666666666,33.333333333333336,33.333333333333336,,,36.11111111111112,,33.54166666666667
85,,,,33.333333333333336,,32.22222222222222,32.22222222222222,,,30.55555555555556,38.333333333333336,33.333333333333336,34.44444444444444,35.55555555555556,,,,33.51851851851852
86,33.888888888888886,,35.0,34.44444444444444,,33.333333333333336,,32.77777777777778,31.666666666666668,33.333333333333336,33.888888888888886,,32.77777777777778,35.55555555555556,31.11111111111111,,,33.30065359477124
87,33.333333333333336,30.55555555555556,37.22222222222222,35.0,,32.77777777777778,,34.44444444444444,33.333333333333336,33.888888888888886,34.44444444444444,,,35.0,30.55555555555556,,,33.53485838779957
88,,33.888888888888886,36.11111111111112,32.22222222222222,,,,37.22222222222222,35.0,,38.333333333333336,,33.333333333333336,,,,28.88888888888889,34.03050108932462
89,,34.44444444444444,30.0,,,33.333333333333336,31.666666666666668,34.44444444444444,33.333333333333336,,37.22222222222222,33.333333333333336,37.22222222222222,33.333333333333336,,,,33.609625668449205
90,,31.666666666666668,,30.0,,,31.666666666666668,,32.22222222222222,,33.888888888888886,33.888888888888886,41.11111111111112,33.333333333333336,,,,33.47222222222222
91,,35.0,,33.333333333333336,,32.22222222222222,,,,31.666666666666668,,,37.77777777777778,,,30.55555555555556,,33.11507936507936
