,year,month,day,Mean T,Maximum T,Minimum T
0,2000,1,2,52.0,68,35
1,2000,1,3,62.0,68,56
2,2000,1,4,58.0,70,46
3,2000,1,5,37.0,46,27
4,2000,1,6,35.0,47,22
5,2000,1,7,39.0,53,24
6,2000,1,8,33.0,44,22
7,2000,1,9,42.0,47,36
8,2000,1,10,47.0,52,42
9,2000,1,11,46.0,54,38
10,2000,1,12,41.0,50,31
11,2000,1,13,44.0,59,28
12,2000,1,14,26.0,31,20
13,2000,1,15,26.0,34,17
14,2000,1,16,44.0,59,29
15,2000,1,17,23.0,29,16
16,2000,1,18,17.0,22,11
17,2000,1,19,26.0,38,14
18,2000,1,20,28.0,32,23
19,2000,1,21,17.0,23,11
20,2000,1,22,16.0,22,9
21,2000,1,23,25.0,28,21
22,2000,1,24,33.0,39,27
23,2000,1,25,28.0,32,24
24,2000,1,26,26.0,32,19
25,2000,1,27,18.0,24,11
26,2000,1,28,20.0,30,9
27,2000,1,29,23.0,37,8
28,2000,1,30,19.0,30,7
29,2000,1,31,30.0,37,23
30,2000,2,1,27.0,36,17
31,2000,2,2,24.0,32,16
32,2000,2,3,24.0,37,11
33,2000,2,4,31.0,36,25
34,2000,2,5,33.0,38,27
35,2000,2,6,31.0,37,25
36,2000,2,7,35.0,47,22
37,2000,2,8,28.0,37,18
38,2000,2,9,32.0,49,14
39,2000,2,10,39.0,52,26
40,2000,2,11,47.0,57,36
41,2000,2,12,29.0,37,21
42,2000,2,13,27.0,35,19
43,2000,2,14,48.0,61,34
44,2000,2,15,35.0,44,26
45,2000,2,16,46.0,63,29
46,2000,2,17,36.0,41,30
47,2000,2,18,32.0,34,29
48,2000,2,19,42.0,50,33
49,2000,2,20,39.0,46,31
50,2000,2,21,38.0,47,29
51,2000,2,22,41.0,54,27
52,2000,2,23,44.0,59,28
53,2000,2,24,52.0,70,34
54,2000,2,25,60.0,79,40
55,2000,2,26,44.0,46,42
56,2000,2,27,52.0,61,43
57,2000,2,28,48.0,56,40
58,2000,2,29,47.0,62,31
59,2000,3,1,46.0,61,31
60,2000,3,2,47.0,56,38
61,2000,3,3,43.0,53,33
62,2000,3,4,43.0,56,29
63,2000,3,5,52.0,66,38
64,2000,3,6,45.0,58,31
65,2000,3,7,50.0,70,29
66,2000,3,8,68.0,83,52
67,2000,3,9,61.0,78,43
68,2000,3,10,59.0,69,49
69,2000,3,11,53.0,56,49
70,2000,3,12,42.0,50,33
71,2000,3,13,38.0,49,27
72,2000,3,14,44.0,58,29
73,2000,3,15,54.0,70,38
74,2000,3,16,62.0,71,53
75,2000,3,17,46.0,61,30
76,2000,3,18,33.0,40,25
77,2000,3,19,39.0,45,32
78,2000,3,20,44.0,49,38
79,2000,3,21,41.0,42,40
80,2000,3,22,45.0,48,41
81,2000,3,23,50.0,63,37
82,2000,3,24,53.0,67,39
83,2000,3,25,58.0,72,44
84,2000,3,26,52.0,65,39
85,2000,3,27,50.0,67,33
86,2000,3,28,52.0,59,44
87,2000,3,29,48.0,58,38
88,2000,3,30,47.0,62,32
89,2000,3,31,45.0,59,30
90,2000,4,1,50.0,69,31
91,2000,4,2,56.0,68,43
92,2000,4,3,67.0,75,59
93,2000,4,4,55.0,68,42
94,2000,4,5,45.0,54,36
95,2000,4,6,61.0,79,42
96,2000,4,7,59.0,72,45
97,2000,4,8,59.0,78,39
98,2000,4,9,42.0,52,32
99,2000,4,10,51.0,63,38
100,2000,4,11,52.0,57,47
101,2000,4,12,45.0,54,36
102,2000,4,13,41.0,50,32
103,2000,4,14,47.0,60,33
104,2000,4,15,56.0,60,51
105,2000,4,16,69.0,80,58
106,2000,4,17,55.0,64,46
107,2000,4,18,46.0,47,44
108,2000,4,19,56.0,66,46
109,2000,4,20,56.0,67,44
110,2000,4,21,57.0,63,51
111,2000,4,22,52.0,57,47
112,2000,4,23,51.0,56,45
113,2000,4,24,55.0,67,42
114,2000,4,25,48.0,55,40
115,2000,4,26,46.0,55,36
116,2000,4,27,48.0,51,45
117,2000,4,28,54.0,60,47
118,2000,4,29,58.0,70,45
119,2000,4,30,57.0,70,43
120,2000,5,1,55.0,72,38
121,2000,5,2,60.0,71,48
122,2000,5,3,57.0,72,41
123,2000,5,4,62.0,76,47
124,2000,5,5,72.0,86,57
125,2000,5,6,76.0,88,64
126,2000,5,7,78.0,92,63
127,2000,5,8,80.0,92,68
128,2000,5,9,78.0,90,66
129,2000,5,10,72.0,88,56
130,2000,5,11,63.0,78,48
131,2000,5,12,73.0,88,57
132,2000,5,13,77.0,92,62
133,2000,5,14,65.0,74,55
134,2000,5,15,57.0,68,45
135,2000,5,16,57.0,72,41
136,2000,5,17,64.0,75,52
137,2000,5,18,73.0,85,60
138,2000,5,19,66.0,76,56
139,2000,5,20,55.0,56,54
140,2000,5,21,60.0,64,55
141,2000,5,22,59.0,60,57
142,2000,5,23,62.0,69,55
143,2000,5,24,72.0,83,60
144,2000,5,25,64.0,75,53
145,2000,5,26,65.0,77,52
146,2000,5,27,60.0,65,54
147,2000,5,28,57.0,60,54
148,2000,5,29,60.0,67,52
149,2000,5,30,57.0,64,49
